"freeze_item_id","repository_path","file_name","size_bytes","sha256","release_version","release_state","integrity_status"
"FRZ-015","data\statistics\SOURCE_VERDICT_DISTRIBUTION.csv","SOURCE_VERDICT_DISTRIBUTION.csv","400","B345441C53930FD1E25861392B18AA9BE5325F5C8C9C8DBDDEC9638DC394483A","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-016","data\statistics\STRATEGIC_PRIORITY_REGISTER.csv","STRATEGIC_PRIORITY_REGISTER.csv","3927","538D09330C800C21F62A3AAA30499345A96545458F35318FE7BB79CF7F87B016","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-017","docs\release\ORYNTH_AI_GOVERNANCE_CROSSWALK_RELEASE_NOTES_v1.0.0.md","ORYNTH_AI_GOVERNANCE_CROSSWALK_RELEASE_NOTES_v1.0.0.md","1072","DF0694A37EDAA6C217523F1624F7266456C50DECF263F0057C16A5DDB404CC02","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-018","docs\release\PUBLIC_CLAIM_BOUNDARY.md","PUBLIC_CLAIM_BOUNDARY.md","1157","6E7BC3996D14C5FC1E7EC64DABD3542A0FC3F8099FE5639ED4A5EABD0A23E1F9","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-019","docs\release\PUBLIC_COMMUNICATION_BRIEF.md","PUBLIC_COMMUNICATION_BRIEF.md","1494","9EBCBE4EEA6A2F7BF1B29F9FD9CCCBB36B5AAAC3887185339C7DDBCD91F1C3D0","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-020","docs\release\PUBLIC_KEY_FINDINGS.md","PUBLIC_KEY_FINDINGS.md","1467","E7CE0EF4993AF99AB968B7183A40E0866E17DA2DA315853D7C02DE02B0CAB424","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-021","docs\release\PUBLIC_METHODOLOGY_SUMMARY.md","PUBLIC_METHODOLOGY_SUMMARY.md","1735","9DE875B95147E826A44EC167C2641FCA31A4971BB41B0EA995FAEB30A3B13F75","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-022","docs\release\PUBLIC_RELEASE_ARTIFACT_MANIFEST.csv","PUBLIC_RELEASE_ARTIFACT_MANIFEST.csv","4162","C25336A5BD95E5CBC18435CEA2036EE8D5F0C45DFA78BA4B2E938202CE2B819E","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-023","docs\release\PUBLICATION_CHECKLIST.md","PUBLICATION_CHECKLIST.md","1052","56759093F735BCFC87B45527AD6913F1A58DDAEBB4CAB8C579ACD6FC38501EFC","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-024","public\ORYNTH_AI_GOVERNANCE_CROSSWALK_PUBLIC_SUMMARY.md","ORYNTH_AI_GOVERNANCE_CROSSWALK_PUBLIC_SUMMARY.md","2582","A96A6DEFC2422C41855BD91326B99AA5A0B309BF2FD9EB71E731FEAECD9D40AF","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-025","public\README.md","README.md","582","92B52981CAE91C660D02ED6287E660049BB9C673650F6E1A0BCCE332C7CF1524","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-026","tests\PASS_04A_COMPLETION.marker","PASS_04A_COMPLETION.marker","355","976AC9A701BF3086D4A8D755B671BC8DB467D0F88FAF79ED9B5DEEC750699FAA","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-027","tests\PASS_05A_COMPLETION.marker","PASS_05A_COMPLETION.marker","776","5B4F53923A3C76B47FABBA961E70AACCD021F94CA906A725717CF72586E9245D","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-028","tests\PASS_05B_COMPLETION.marker","PASS_05B_COMPLETION.marker","981","F1D2451AE4BD474F12027F9D80E3299BE1D5E095E1E3372EAA8085F5B613DEFF","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-029","tests\PASS_05C_COMPLETION.marker","PASS_05C_COMPLETION.marker","952","4D7614C26FBC1EC4C339899DED1CDA9F10EA025F7ACDEDCE75D2BB238B9C32F3","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
