"requirement_id","source_record_id","requirement_class","requirement_name","regulated_actor","action_type","requirement_text","mandatory_status","trigger","deadline","effective_date","enforcement_authority","penalty_or_consequence","exceptions","primary_citation","verification_status","notes"
"EO14409-REQ-011","FED-EO-14409","FEDERAL_FUNDING_REVIEW","Determine whether relevant Federal grant funding is available for advanced AI vulnerability detection","Director of OMB","MANDATORY","Determine whether relevant Federal grant funding is available for advanced AI vulnerability detection","MANDATORY","","2026-07-02","2026-06-02","","","","Section 2(e)","PRIMARY_SOURCE_VERIFIED","Private-company effect: POTENTIAL_FUNDING_OPPORTUNITY"
"EO14409-REQ-012","FED-EO-14409","CYBERSECURITY_WORKFORCE","Expand United States Tech Force Information Cybersecurity Specialist hiring and placement pathways","Director of OPM","MANDATORY","Expand United States Tech Force Information Cybersecurity Specialist hiring and placement pathways","MANDATORY","","2026-08-01","2026-06-02","","","","Section 2(f)","PRIMARY_SOURCE_VERIFIED","Private-company effect: NONE_DIRECT"
"EO14409-REQ-013","FED-EO-14409","MODEL_BENCHMARKING","Develop and maintain a classified process for benchmarking advanced cyber capabilities of AI models","Designated Federal officials","MANDATORY","Develop and maintain a classified process for benchmarking advanced cyber capabilities of AI models","MANDATORY","","2026-08-01","2026-06-02","","","","Section 3(a)","PRIMARY_SOURCE_VERIFIED","Private-company effect: POTENTIAL_EVALUATION_EFFECT"
"EO14409-REQ-014","FED-EO-14409","MODEL_CLASSIFICATION","Determine the threshold for designating an AI model as a covered frontier model","Designated Federal officials","MANDATORY","Determine the threshold for designating an AI model as a covered frontier model","MANDATORY","","2026-08-01","2026-06-02","","","","Section 3(a)","PRIMARY_SOURCE_VERIFIED","Private-company effect: POTENTIAL_CLASSIFICATION_EFFECT"
"EO14409-REQ-015","FED-EO-14409","DESIGNATION_AUTHORITY","Make covered-frontier-model determinations in consultation with designated officials","Director of NSA","MANDATORY_AUTHORITY","Make covered-frontier-model determinations in consultation with designated officials","MANDATORY_AUTHORITY","","","2026-06-02","","","","Section 3(a)","PRIMARY_SOURCE_VERIFIED","Private-company effect: POTENTIAL_CLASSIFICATION_EFFECT"
"EO14409-REQ-016","FED-EO-14409","VOLUNTARY_FRAMEWORK","Design a voluntary framework with AI developers","Designated Federal officials","MANDATORY_FEDERAL_DESIGN","Design a voluntary framework with AI developers","MANDATORY_FEDERAL_DESIGN","","2026-08-01","2026-06-02","","","","Section 3(b)","PRIMARY_SOURCE_VERIFIED","Private-company effect: VOLUNTARY_PARTICIPATION"
"EO14409-REQ-017","FED-EO-14409","MODEL_DESIGNATION_CONSULTATION","Engage the Federal Government to determine whether models under development meet the covered-frontier-model designation","AI developers","VOLUNTARY","Engage the Federal Government to determine whether models under development meet the covered-frontier-model designation","VOLUNTARY","","","2026-06-02","","","","Section 3(b)(i)","PRIMARY_SOURCE_VERIFIED","Private-company effect: VOLUNTARY"
"EO14409-REQ-018","FED-EO-14409","PRE_RELEASE_MODEL_ACCESS","Provide the Federal Government access to covered frontier models for up to 30 days before release to other trusted partners","Participating AI developers","VOLUNTARY","Provide the Federal Government access to covered frontier models for up to 30 days before release to other trusted partners","VOLUNTARY","","UP_TO_30_DAYS_BEFORE_TRUSTED_PARTNER_RELEASE","2026-06-02","","","","Section 3(b)(ii)","PRIMARY_SOURCE_VERIFIED","Private-company effect: VOLUNTARY"
"EO14409-REQ-019","FED-EO-14409","MODEL_ACCESS_SAFEGUARDS","Apply appropriate confidentiality, cybersecurity, insider-risk, intellectual-property, use, and nondisclosure protections","Federal Government","CONDITIONAL_SAFEGUARD","Apply appropriate confidentiality, cybersecurity, insider-risk, intellectual-property, use, and nondisclosure protections","CONDITIONAL_SAFEGUARD","","","2026-06-02","","","","Section 3(b)(ii)","PRIMARY_SOURCE_VERIFIED","Private-company effect: PROTECTION_FOR_PARTICIPANTS"
"EO14409-REQ-020","FED-EO-14409","TRUSTED_PARTNER_SELECTION","Collaborate to select trusted partners for early access to covered frontier models","Participating AI developers and Federal Government","VOLUNTARY","Collaborate to select trusted partners for early access to covered frontier models","VOLUNTARY","","","2026-06-02","","","","Section 3(b)(iii)","PRIMARY_SOURCE_VERIFIED","Private-company effect: VOLUNTARY"
"EO14409-REQ-021","FED-EO-14409","NO_MANDATORY_MODEL_LICENSING","Do not construe section 3 as authorizing mandatory model licensing, preclearance, or permitting","Federal Government","AUTHORITY_LIMITATION","Do not construe section 3 as authorizing mandatory model licensing, preclearance, or permitting","AUTHORITY_LIMITATION","","","2026-06-02","","","","Section 3(c)","PRIMARY_SOURCE_VERIFIED","Private-company effect: PROTECTIVE_LIMITATION"
"EO14409-REQ-022","FED-EO-14409","CRIMINAL_ENFORCEMENT","Prioritize enforcement of applicable Federal criminal laws against criminal AI-enabled computer access or damage","Attorney General","MANDATORY_ENFORCEMENT_PRIORITY","Prioritize enforcement of applicable Federal criminal laws against criminal AI-enabled computer access or damage","MANDATORY_ENFORCEMENT_PRIORITY","","STANDING","2026-06-02","","","","Section 4","PRIMARY_SOURCE_VERIFIED","Private-company effect: CRIMINAL_LAW_EXPOSURE_FOR_UNLAWFUL_ACTORS"
"EO14409-REQ-023","FED-EO-14409","GENERAL_AUTHORITY_LIMITATION","Preserve existing agency authority and OMB functions","Executive branch","AUTHORITY_PRESERVATION","Preserve existing agency authority and OMB functions","AUTHORITY_PRESERVATION","","","2026-06-02","","","","Section 5(a)","PRIMARY_SOURCE_VERIFIED","Private-company effect: NONE_DIRECT"
"EO14409-REQ-024","FED-EO-14409","LEGAL_AND_APPROPRIATIONS_BOUNDARY","Implement the order consistently with applicable law and available appropriations","Executive branch","IMPLEMENTATION_CONDITION","Implement the order consistently with applicable law and available appropriations","IMPLEMENTATION_CONDITION","","STANDING","2026-06-02","","","","Section 5(b)","PRIMARY_SOURCE_VERIFIED","Private-company effect: NONE_DIRECT"
"EO14409-REQ-025","FED-EO-14409","NO_PRIVATE_RIGHT_OF_ACTION","Recognize that the order creates no privately enforceable substantive or procedural right or benefit","All parties","NO_PRIVATE_RIGHT_CREATED","Recognize that the order creates no privately enforceable substantive or procedural right or benefit","NO_PRIVATE_RIGHT_CREATED","","","2026-06-02","","","","Section 5(c)","PRIMARY_SOURCE_VERIFIED","Private-company effect: NO_PRIVATE_ENFORCEMENT_RIGHT"
"MN-HF1606-REQ-001","MN-HF-1606","PROHIBITION","Must not allow a user to access, download, or use the service to nudify an image or video.","Person owning or controlling a website, application, software, program, or other service","PROHIBITION","Must not allow a user to access, download, or use the service to nudify an image or video.","MANDATORY","Covered conduct within statutory scope","2026-08-01","2026-08-01","Attorney General and private civil action","Civil remedies and civil penalty","Subdivision 3","Minnesota Statutes 325E.91, subdivision 2(a)(1)","FINAL_SESSION_LAW_VERIFIED","Minnesota Session Laws 2026, Chapter 72"
"MN-HF1606-REQ-002","MN-HF-1606","PROHIBITION","Must not nudify an image or video on behalf of a user.","Person owning or controlling a website, application, software, program, or other service","PROHIBITION","Must not nudify an image or video on behalf of a user.","MANDATORY","Covered conduct within statutory scope","2026-08-01","2026-08-01","Attorney General and private civil action","Civil remedies and civil penalty","Subdivision 3","Minnesota Statutes 325E.91, subdivision 2(a)(2)","FINAL_SESSION_LAW_VERIFIED","Minnesota Session Laws 2026, Chapter 72"
"MN-HF1606-REQ-003","MN-HF-1606","PROHIBITION","Must not advertise or promote a service that performs prohibited nudification actions.","Any person","PROHIBITION","Must not advertise or promote a service that performs prohibited nudification actions.","MANDATORY","Covered conduct within statutory scope","2026-08-01","2026-08-01","Attorney General and private civil action where applicable","Civil remedies and civil penalty","Subdivision 3","Minnesota Statutes 325E.91, subdivision 2(b)","FINAL_SESSION_LAW_VERIFIED","Minnesota Session Laws 2026, Chapter 72"
"MN-HF1606-REQ-004","MN-HF-1606","EXEMPTION","Subdivision 2 prohibitions do not apply when the service requires the technical skill of a user to nudify media.","Covered service provider","EXEMPTION","Subdivision 2 prohibitions do not apply when the service requires the technical skill of a user to nudify media.","EXEMPTION","Covered conduct within statutory scope","2026-08-01","2026-08-01","Not applicable when exemption is satisfied","","","Minnesota Statutes 325E.91, subdivision 3","FINAL_SESSION_LAW_VERIFIED","Minnesota Session Laws 2026, Chapter 72"
"MN-HF1606-REQ-005","MN-HF-1606","PRIVATE_CIVIL_LIABILITY","May be sued by an individual depicted in unlawfully nudified media.","Person violating section 325E.91","PRIVATE_CIVIL_LIABILITY","May be sued by an individual depicted in unlawfully nudified media.","LIABILITY","Covered conduct within statutory scope","2026-08-01","2026-08-01","Depicted individual in district court","Compensatory damages, punitive damages, injunction, attorney fees, costs, disbursements, and equitable relief","","Minnesota Statutes 325E.91, subdivision 4","FINAL_SESSION_LAW_VERIFIED","Minnesota Session Laws 2026, Chapter 72"
"MN-HF1606-REQ-006","MN-HF-1606","DAMAGES","Subject to compensatory damages, including mental anguish or suffering, up to three times actual damages.","Person violating section 325E.91","DAMAGES","Subject to compensatory damages, including mental anguish or suffering, up to three times actual damages.","LIABILITY","Covered conduct within statutory scope","2026-08-01","2026-08-01","Depicted individual in district court","Up to three times actual damages","","Minnesota Statutes 325E.91, subdivision 4(1)","FINAL_SESSION_LAW_VERIFIED","Minnesota Session Laws 2026, Chapter 72"
"MN-HF1606-REQ-007","MN-HF-1606","ATTORNEY_GENERAL_ENFORCEMENT","Subject to enforcement by the Minnesota Attorney General under section 8.31.","Person violating section 325E.91","ATTORNEY_GENERAL_ENFORCEMENT","Subject to enforcement by the Minnesota Attorney General under section 8.31.","LIABILITY","Covered conduct within statutory scope","2026-08-01","2026-08-01","Minnesota Attorney General","Available statutory remedies and penalties","","Minnesota Statutes 325E.91, subdivision 5(a)","FINAL_SESSION_LAW_VERIFIED","Minnesota Session Laws 2026, Chapter 72"
"MN-HF1606-REQ-008","MN-HF-1606","CIVIL_PENALTY","Subject to a civil penalty not exceeding $500,000 for each unlawful access, download, or use.","Person violating section 325E.91","CIVIL_PENALTY","Subject to a civil penalty not exceeding $500,000 for each unlawful access, download, or use.","LIABILITY","Covered conduct within statutory scope","2026-08-01","2026-08-01","Minnesota Attorney General","Civil penalty up to $500,000 per unlawful access, download, or use","","Minnesota Statutes 325E.91, subdivision 5(a)","FINAL_SESSION_LAW_VERIFIED","Minnesota Session Laws 2026, Chapter 72"
"MN-HF1606-REQ-009","MN-HF-1606","PENALTY_ALLOCATION","Civil penalties must be deposited in the general fund and annually appropriated for victim-service grants.","State government","PENALTY_ALLOCATION","Civil penalties must be deposited in the general fund and annually appropriated for victim-service grants.","MANDATORY_GOVERNMENT_ADMINISTRATION","Covered conduct within statutory scope","2026-08-01","2026-08-01","State financial administration","Allocation to Office of Justice Programs grants","","Minnesota Statutes 325E.91, subdivision 5(b)","FINAL_SESSION_LAW_VERIFIED","Minnesota Session Laws 2026, Chapter 72"
