"mapping_id","source_requirement_id","source_record_id","normalized_requirement_type_id","mapping_strength","rationale","human_review_status"
"MAP-016","EO14409-REQ-009","FED-EO-14409","SEC-005","DIRECT","Requires vulnerability discovery and validation.","REVIEWED"
"MAP-017","EO14409-REQ-009","FED-EO-14409","TST-003","DIRECT","Requires validation of discovered vulnerabilities.","REVIEWED"
"MAP-018","EO14409-REQ-010","FED-EO-14409","INC-003","DIRECT","Coordinates remediation and patch distribution.","REVIEWED"
"MAP-019","EO14409-REQ-010","FED-EO-14409","SEC-005","DIRECT","Represents vulnerability-management closure.","REVIEWED"
"MAP-020","EO14409-REQ-011","FED-EO-14409","GOV-003","DIRECT","Requires Federal grant-funding review.","REVIEWED"
"MAP-021","EO14409-REQ-012","FED-EO-14409","GOV-002","DIRECT","Expands cybersecurity workforce pathways.","REVIEWED"
"MAP-022","EO14409-REQ-013","FED-EO-14409","TST-001","DIRECT","Creates classified model-capability benchmarks.","REVIEWED"
"MAP-023","EO14409-REQ-013","FED-EO-14409","SEC-001","DIRECT","Benchmarks advanced cyber capability.","REVIEWED"
"MAP-024","EO14409-REQ-013","FED-EO-14409","EVD-005","RELATED","Classified evaluation materials require protection.","REVIEWED"
"MAP-025","EO14409-REQ-014","FED-EO-14409","CLS-002","DIRECT","Requires a covered-frontier-model threshold.","REVIEWED"
"MAP-026","EO14409-REQ-014","FED-EO-14409","SCP-002","DIRECT","The threshold defines scope.","REVIEWED"
"MAP-027","EO14409-REQ-015","FED-EO-14409","AUTH-001","DIRECT","Assigns model-designation authority.","REVIEWED"
"MAP-028","EO14409-REQ-015","FED-EO-14409","CLS-001","DIRECT","Requires regulated-model classification.","REVIEWED"
"MAP-029","EO14409-REQ-016","FED-EO-14409","VOL-004","DIRECT","Requires design of a voluntary public-private framework.","REVIEWED"
"MAP-030","EO14409-REQ-016","FED-EO-14409","GOV-001","DIRECT","Government must create the framework.","REVIEWED"
"MAP-031","EO14409-REQ-017","FED-EO-14409","VOL-001","DIRECT","Developers may voluntarily consult government.","REVIEWED"
"MAP-032","EO14409-REQ-017","FED-EO-14409","CLS-001","RELATED","Consultation concerns model classification.","REVIEWED"
"MAP-033","EO14409-REQ-018","FED-EO-14409","VOL-003","DIRECT","Permits voluntary controlled pre-release access.","REVIEWED"
"MAP-034","EO14409-REQ-018","FED-EO-14409","EVD-004","DIRECT","Provides access to evaluation materials or models.","REVIEWED"
"MAP-035","EO14409-REQ-018","FED-EO-14409","SEC-002","DIRECT","Access is bounded and controlled.","REVIEWED"
"MAP-036","EO14409-REQ-019","FED-EO-14409","SEC-003","DIRECT","Requires confidentiality and nondisclosure safeguards.","REVIEWED"
"MAP-037","EO14409-REQ-019","FED-EO-14409","SEC-004","DIRECT","Requires insider-risk safeguards.","REVIEWED"
"MAP-038","EO14409-REQ-019","FED-EO-14409","EVD-005","DIRECT","Protects models, evidence, and supplied materials.","REVIEWED"
"MAP-039","EO14409-REQ-019","FED-EO-14409","SEC-001","DIRECT","Requires cybersecurity safeguards.","REVIEWED"
"MAP-040","EO14409-REQ-020","FED-EO-14409","VOL-004","DIRECT","Requires consensual trusted-partner collaboration.","REVIEWED"
"MAP-041","EO14409-REQ-020","FED-EO-14409","SEC-002","RELATED","Trusted-partner selection constrains access.","REVIEWED"
"MAP-042","EO14409-REQ-021","FED-EO-14409","AUTH-002","DIRECT","Expressly limits governmental authority.","REVIEWED"
"MAP-043","EO14409-REQ-021","FED-EO-14409","SCP-001","RELATED","Defines the legal construction boundary.","REVIEWED"
"MAP-044","EO14409-REQ-022","FED-EO-14409","ENF-005","DIRECT","Prioritizes applicable criminal enforcement.","REVIEWED"
"MAP-045","EO14409-REQ-023","FED-EO-14409","AUTH-003","DIRECT","Preserves existing agency and OMB authority.","REVIEWED"
"MAP-046","EO14409-REQ-024","FED-EO-14409","SCP-001","DIRECT","Limits implementation to applicable law and appropriations.","REVIEWED"
"MAP-047","EO14409-REQ-024","FED-EO-14409","AUTH-002","RELATED","Constrains executive implementation authority.","REVIEWED"
"MAP-048","EO14409-REQ-025","FED-EO-14409","SCP-004","DIRECT","Creates no privately enforceable right or benefit.","REVIEWED"
"MAP-049","MN-HF1606-REQ-001","MN-HF-1606","PRO-002","DIRECT","Prohibits access, download, or use of covered nudification capability.","REVIEWED"
"MAP-050","MN-HF1606-REQ-001","MN-HF-1606","EXE-002","DIRECT","Requires restriction of service access and use.","REVIEWED"
"MAP-051","MN-HF1606-REQ-001","MN-HF-1606","HUM-002","DIRECT","Protects intimate representation and identity.","REVIEWED"
"MAP-052","MN-HF1606-REQ-002","MN-HF-1606","PRO-001","DIRECT","Prohibits performance of nudification for a user.","REVIEWED"
"MAP-053","MN-HF1606-REQ-002","MN-HF-1606","HUM-002","DIRECT","Protects identity and intimate likeness.","REVIEWED"
"MAP-054","MN-HF1606-REQ-003","MN-HF-1606","PRO-003","DIRECT","Prohibits advertising or promotion of the service.","REVIEWED"
"MAP-055","MN-HF1606-REQ-004","MN-HF-1606","SCP-003","DIRECT","Creates a technical-skill exemption.","REVIEWED"
"MAP-056","MN-HF1606-REQ-004","MN-HF-1606","SCP-001","DIRECT","Defines the boundary of statutory application.","REVIEWED"
"MAP-057","MN-HF1606-REQ-005","MN-HF-1606","ENF-002","DIRECT","Authorizes a private civil action.","REVIEWED"
"MAP-058","MN-HF1606-REQ-005","MN-HF-1606","HUM-002","RELATED","Provides remedy for identity and intimate-representation harm.","REVIEWED"
"MAP-059","MN-HF1606-REQ-006","MN-HF-1606","ENF-004","DIRECT","Provides compensatory and enhanced damages.","REVIEWED"
"MAP-060","MN-HF1606-REQ-007","MN-HF-1606","ENF-001","DIRECT","Authorizes attorney-general enforcement.","REVIEWED"
"MAP-061","MN-HF1606-REQ-008","MN-HF-1606","ENF-003","DIRECT","Creates a civil penalty per unlawful event.","REVIEWED"
"MAP-062","MN-HF1606-REQ-009","MN-HF-1606","GOV-003","RELATED","Directs penalty revenue toward victim-service grants.","REVIEWED"
"MAP-063","MN-HF1606-REQ-009","MN-HF-1606","HUM-002","RELATED","Funds services for victims of covered harm.","REVIEWED"
