"requirement_type_id","domain","normalized_name","definition","polarity"
"SEC-001","SECURITY","Cybersecurity protection","Apply controls protecting systems, models, information, and infrastructure from cyber threats.","SAFEGUARD"
"SEC-002","SECURITY","Access control","Restrict access to authorized parties, contexts, purposes, or time periods.","SAFEGUARD"
"SEC-003","SECURITY","Confidentiality protection","Prevent unauthorized disclosure of protected information, model materials, evidence, or intellectual property.","SAFEGUARD"
"SEC-004","SECURITY","Insider-risk protection","Detect, prevent, or mitigate misuse by trusted or privileged insiders.","SAFEGUARD"
"SEC-005","SECURITY","Vulnerability management","Discover, validate, prioritize, remediate, and coordinate software or system vulnerabilities.","POSITIVE_DUTY"
"INC-001","INCIDENT_RESPONSE","Incident detection","Detect harmful, unauthorized, anomalous, or nonconforming system behavior.","POSITIVE_DUTY"
"INC-002","INCIDENT_RESPONSE","Incident reporting","Report defined incidents to an authorized party within a required period.","POSITIVE_DUTY"
"INC-003","INCIDENT_RESPONSE","Incident remediation","Contain, correct, repair, or recover from an incident or vulnerability.","POSITIVE_DUTY"
"AUD-001","AUDIT_AND_ASSURANCE","Independent auditability","Enable independent examination of system governance, evidence, controls, and claims.","ASSURANCE"
"AUD-002","AUDIT_AND_ASSURANCE","Reproducible verification","Enable another qualified party to reproduce a finding or conformance determination.","ASSURANCE"
"AUD-003","AUDIT_AND_ASSURANCE","Conformance assessment","Determine whether an implementation satisfies a defined architecture, standard, policy, or legal requirement.","ASSURANCE"
"ENF-001","ENFORCEMENT_AND_LIABILITY","Public enforcement","Authorize a government actor to investigate, compel, enjoin, penalize, or otherwise enforce.","ENFORCEMENT"
"ENF-002","ENFORCEMENT_AND_LIABILITY","Private civil action","Authorize an affected person to initiate a civil claim.","ENFORCEMENT"
"ENF-003","ENFORCEMENT_AND_LIABILITY","Civil penalty","Impose a monetary penalty for violation.","ENFORCEMENT"
"ENF-004","ENFORCEMENT_AND_LIABILITY","Damages and equitable relief","Provide compensatory, enhanced, punitive, injunctive, or equitable remedies.","REMEDY"
"ENF-005","ENFORCEMENT_AND_LIABILITY","Criminal enforcement priority","Prioritize investigation or prosecution under applicable criminal law.","ENFORCEMENT"
"GOV-001","GOVERNMENT_IMPLEMENTATION","Government program creation","Create or expand a government program, office, clearinghouse, process, standard, or service.","POSITIVE_DUTY"
"GOV-002","GOVERNMENT_IMPLEMENTATION","Government workforce development","Create, expand, recruit, hire, train, or place personnel supporting AI governance or security.","POSITIVE_DUTY"
"GOV-003","GOVERNMENT_IMPLEMENTATION","Government funding review","Identify, allocate, or determine availability of public funding for defined governance activities.","POSITIVE_DUTY"
"VOL-001","VOLUNTARY_COORDINATION","Voluntary consultation","Permit nonmandatory consultation between government and private actors.","VOLUNTARY"
"VOL-002","VOLUNTARY_COORDINATION","Voluntary information sharing","Permit nonmandatory sharing of information, evidence, models, or vulnerabilities.","VOLUNTARY"
"VOL-003","VOLUNTARY_COORDINATION","Voluntary controlled access","Permit controlled access to a model, service, or evidence by agreement rather than compulsion.","VOLUNTARY"
"VOL-004","VOLUNTARY_COORDINATION","Voluntary public-private collaboration","Create a consensual collaborative process between government and private actors.","VOLUNTARY"
"SCP-001","SCOPE_AND_EXCEPTIONS","Definition-bound scope","Define the people, systems, capabilities, outputs, or contexts covered by a requirement.","SCOPE"
"SCP-002","SCOPE_AND_EXCEPTIONS","Threshold-bound scope","Limit applicability through a capability, risk, size, use, or materiality threshold.","SCOPE"
"SCP-003","SCOPE_AND_EXCEPTIONS","Express exemption","Exclude a defined actor, technology, use, or condition from a requirement.","EXEMPTION"
"SCP-004","SCOPE_AND_EXCEPTIONS","No private right created","State that a measure does not create a privately enforceable right or benefit.","LIMITATION"
