"requirement_type_id","domain","normalized_name","mapped_source_requirement_count","source_records","current_status"
"PRO-001","PROHIBITED_CONDUCT","Prohibited system use","1","MN-HF-1606","ACTIVE_IN_CURRENT_CORPUS"
"PRO-002","PROHIBITED_CONDUCT","Prohibited capability access","1","MN-HF-1606","ACTIVE_IN_CURRENT_CORPUS"
"PRO-003","PROHIBITED_CONDUCT","Prohibited promotion","1","MN-HF-1606","ACTIVE_IN_CURRENT_CORPUS"
"TRN-001","TRANSPARENCY","User notice","0","","DEFINED_FOR_EXPANSION"
"TRN-002","TRANSPARENCY","Regulatory disclosure","0","","DEFINED_FOR_EXPANSION"
"TRN-003","TRANSPARENCY","Content provenance disclosure","0","","DEFINED_FOR_EXPANSION"
"HUM-001","HUMAN_RIGHTS_AND_REMEDY","Anti-discrimination protection","0","","DEFINED_FOR_EXPANSION"
"HUM-002","HUMAN_RIGHTS_AND_REMEDY","Identity and likeness protection","4","MN-HF-1606","ACTIVE_IN_CURRENT_CORPUS"
"HUM-003","HUMAN_RIGHTS_AND_REMEDY","Human review or appeal","0","","DEFINED_FOR_EXPANSION"
"SEC-001","SECURITY","Cybersecurity protection","6","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"SEC-002","SECURITY","Access control","3","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"SEC-003","SECURITY","Confidentiality protection","1","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"SEC-004","SECURITY","Insider-risk protection","1","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"SEC-005","SECURITY","Vulnerability management","3","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"INC-001","INCIDENT_RESPONSE","Incident detection","0","","DEFINED_FOR_EXPANSION"
"INC-002","INCIDENT_RESPONSE","Incident reporting","0","","DEFINED_FOR_EXPANSION"
"INC-003","INCIDENT_RESPONSE","Incident remediation","1","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"AUD-001","AUDIT_AND_ASSURANCE","Independent auditability","0","","DEFINED_FOR_EXPANSION"
"AUD-002","AUDIT_AND_ASSURANCE","Reproducible verification","0","","DEFINED_FOR_EXPANSION"
"AUD-003","AUDIT_AND_ASSURANCE","Conformance assessment","0","","DEFINED_FOR_EXPANSION"
"ENF-001","ENFORCEMENT_AND_LIABILITY","Public enforcement","1","MN-HF-1606","ACTIVE_IN_CURRENT_CORPUS"
"ENF-002","ENFORCEMENT_AND_LIABILITY","Private civil action","1","MN-HF-1606","ACTIVE_IN_CURRENT_CORPUS"
"ENF-003","ENFORCEMENT_AND_LIABILITY","Civil penalty","1","MN-HF-1606","ACTIVE_IN_CURRENT_CORPUS"
"ENF-004","ENFORCEMENT_AND_LIABILITY","Damages and equitable relief","1","MN-HF-1606","ACTIVE_IN_CURRENT_CORPUS"
"ENF-005","ENFORCEMENT_AND_LIABILITY","Criminal enforcement priority","1","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"GOV-001","GOVERNMENT_IMPLEMENTATION","Government program creation","4","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"GOV-002","GOVERNMENT_IMPLEMENTATION","Government workforce development","1","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"GOV-003","GOVERNMENT_IMPLEMENTATION","Government funding review","2","FED-EO-14409;MN-HF-1606","ACTIVE_IN_CURRENT_CORPUS"
"VOL-001","VOLUNTARY_COORDINATION","Voluntary consultation","1","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"VOL-002","VOLUNTARY_COORDINATION","Voluntary information sharing","0","","DEFINED_FOR_EXPANSION"
"VOL-003","VOLUNTARY_COORDINATION","Voluntary controlled access","1","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"VOL-004","VOLUNTARY_COORDINATION","Voluntary public-private collaboration","4","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"SCP-001","SCOPE_AND_EXCEPTIONS","Definition-bound scope","3","FED-EO-14409;MN-HF-1606","ACTIVE_IN_CURRENT_CORPUS"
"SCP-002","SCOPE_AND_EXCEPTIONS","Threshold-bound scope","1","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"SCP-003","SCOPE_AND_EXCEPTIONS","Express exemption","1","MN-HF-1606","ACTIVE_IN_CURRENT_CORPUS"
"SCP-004","SCOPE_AND_EXCEPTIONS","No private right created","1","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
