"requirement_type_id","domain","normalized_name","reference_architecture_evidence_count","audit_specification_evidence_count","total_public_evidence_count","compatibility_state"
"EXE-001","EXECUTION_CONTROL","Execution admission","5","1","6","NOT_YET_ADJUDICATED"
"EXE-002","EXECUTION_CONTROL","Execution restriction","2","0","2","NOT_YET_ADJUDICATED"
"EXE-003","EXECUTION_CONTROL","Suspension or termination","1","0","1","NOT_YET_ADJUDICATED"
"PRO-001","PROHIBITED_CONDUCT","Prohibited system use","0","0","0","NOT_YET_ADJUDICATED"
"PRO-002","PROHIBITED_CONDUCT","Prohibited capability access","0","0","0","NOT_YET_ADJUDICATED"
"PRO-003","PROHIBITED_CONDUCT","Prohibited promotion","0","0","0","NOT_YET_ADJUDICATED"
"TRN-001","TRANSPARENCY","User notice","0","0","0","NOT_YET_ADJUDICATED"
"TRN-002","TRANSPARENCY","Regulatory disclosure","0","0","0","NOT_YET_ADJUDICATED"
"TRN-003","TRANSPARENCY","Content provenance disclosure","0","0","0","NOT_YET_ADJUDICATED"
"HUM-001","HUMAN_RIGHTS_AND_REMEDY","Anti-discrimination protection","0","0","0","NOT_YET_ADJUDICATED"
"HUM-002","HUMAN_RIGHTS_AND_REMEDY","Identity and likeness protection","0","0","0","NOT_YET_ADJUDICATED"
"HUM-003","HUMAN_RIGHTS_AND_REMEDY","Human review or appeal","0","0","0","NOT_YET_ADJUDICATED"
"SEC-001","SECURITY","Cybersecurity protection","0","0","0","NOT_YET_ADJUDICATED"
"SEC-002","SECURITY","Access control","0","2","2","NOT_YET_ADJUDICATED"
"SEC-003","SECURITY","Confidentiality protection","0","0","0","NOT_YET_ADJUDICATED"
"SEC-004","SECURITY","Insider-risk protection","0","0","0","NOT_YET_ADJUDICATED"
"SEC-005","SECURITY","Vulnerability management","0","0","0","NOT_YET_ADJUDICATED"
"INC-001","INCIDENT_RESPONSE","Incident detection","0","0","0","NOT_YET_ADJUDICATED"
"INC-002","INCIDENT_RESPONSE","Incident reporting","0","0","0","NOT_YET_ADJUDICATED"
"INC-003","INCIDENT_RESPONSE","Incident remediation","0","0","0","NOT_YET_ADJUDICATED"
"AUD-001","AUDIT_AND_ASSURANCE","Independent auditability","0","4","4","NOT_YET_ADJUDICATED"
"AUD-002","AUDIT_AND_ASSURANCE","Reproducible verification","3","4","7","NOT_YET_ADJUDICATED"
"AUD-003","AUDIT_AND_ASSURANCE","Conformance assessment","5","12","17","NOT_YET_ADJUDICATED"
"ENF-001","ENFORCEMENT_AND_LIABILITY","Public enforcement","0","0","0","NOT_YET_ADJUDICATED"
"ENF-002","ENFORCEMENT_AND_LIABILITY","Private civil action","0","0","0","NOT_YET_ADJUDICATED"
"ENF-003","ENFORCEMENT_AND_LIABILITY","Civil penalty","0","0","0","NOT_YET_ADJUDICATED"
"ENF-004","ENFORCEMENT_AND_LIABILITY","Damages and equitable relief","0","0","0","NOT_YET_ADJUDICATED"
"ENF-005","ENFORCEMENT_AND_LIABILITY","Criminal enforcement priority","0","0","0","NOT_YET_ADJUDICATED"
"GOV-001","GOVERNMENT_IMPLEMENTATION","Government program creation","0","0","0","NOT_YET_ADJUDICATED"
"GOV-002","GOVERNMENT_IMPLEMENTATION","Government workforce development","0","0","0","NOT_YET_ADJUDICATED"
"GOV-003","GOVERNMENT_IMPLEMENTATION","Government funding review","0","0","0","NOT_YET_ADJUDICATED"
"VOL-001","VOLUNTARY_COORDINATION","Voluntary consultation","0","0","0","NOT_YET_ADJUDICATED"
"VOL-002","VOLUNTARY_COORDINATION","Voluntary information sharing","0","0","0","NOT_YET_ADJUDICATED"
"VOL-003","VOLUNTARY_COORDINATION","Voluntary controlled access","0","0","0","NOT_YET_ADJUDICATED"
"VOL-004","VOLUNTARY_COORDINATION","Voluntary public-private collaboration","0","0","0","NOT_YET_ADJUDICATED"
"SCP-001","SCOPE_AND_EXCEPTIONS","Definition-bound scope","5","4","9","NOT_YET_ADJUDICATED"
"SCP-002","SCOPE_AND_EXCEPTIONS","Threshold-bound scope","0","0","0","NOT_YET_ADJUDICATED"
"SCP-003","SCOPE_AND_EXCEPTIONS","Express exemption","0","0","0","NOT_YET_ADJUDICATED"
"SCP-004","SCOPE_AND_EXCEPTIONS","No private right created","0","0","0","NOT_YET_ADJUDICATED"
