"requirement_id","adjudication_id","review_id","challenge_id","source_id","trace_final_verdict","adversarial_recommended_verdict","human_final_verdict","release_verdict","verdict_basis","evidence_ids","challenge_supporting_evidence_ids","exception_review_required","exception_reason"
"EO14409-REQ-011","IADJ-011","ARV-011","CHL-011","FED-EO-14409","GAP","GAP","","GAP","R4_ADVERSARIAL_RECOMMENDATION","","","FALSE",""
"EO14409-REQ-012","IADJ-012","ARV-012","CHL-012","FED-EO-14409","GAP","GAP","","GAP","R4_ADVERSARIAL_RECOMMENDATION","","","FALSE",""
"EO14409-REQ-013","IADJ-013","ARV-013","CHL-013","FED-EO-14409","GAP","GAP","","GAP","R4_ADVERSARIAL_RECOMMENDATION","","","FALSE",""
"EO14409-REQ-014","IADJ-014","ARV-014","CHL-014","FED-EO-14409","GAP","GAP","","GAP","R4_ADVERSARIAL_RECOMMENDATION","","","FALSE",""
"EO14409-REQ-015","IADJ-015","ARV-015","CHL-015","FED-EO-14409","UNRESOLVED","UNRESOLVED","","PARTIALLY_ADDRESSED","PASS_05A_R5B_EXPLICIT_APPLICABILITY_ADJUDICATION","AAS-EVD-008;AAS-EVD-012;AAS-EVD-019;RA-EVD-001;RA-EVD-003","AAS-EVD-008;AAS-EVD-012;AAS-EVD-019;RA-EVD-001;RA-EVD-003","FALSE",""
"EO14409-REQ-016","IADJ-016","ARV-016","CHL-016","FED-EO-14409","UNRESOLVED","UNRESOLVED","","NOT_APPLICABLE","PASS_05A_R5B_EXPLICIT_APPLICABILITY_ADJUDICATION","","","FALSE",""
"EO14409-REQ-017","IADJ-017","ARV-017","CHL-017","FED-EO-14409","UNRESOLVED","UNRESOLVED","","RELATED","PASS_05A_R5B_EXPLICIT_APPLICABILITY_ADJUDICATION","AAS-EVD-008;AAS-EVD-012;RA-EVD-001","AAS-EVD-008;AAS-EVD-012;RA-EVD-001","FALSE",""
"EO14409-REQ-018","IADJ-018","ARV-018","CHL-018","FED-EO-14409","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","","PARTIALLY_ADDRESSED","R4_ADVERSARIAL_RECOMMENDATION","AAS-EVD-004;AAS-EVD-017;RA-EVD-017","AAS-EVD-004;AAS-EVD-017;RA-EVD-017","FALSE",""
"EO14409-REQ-019","IADJ-019","ARV-019","CHL-019","FED-EO-14409","GAP","GAP","","GAP","R4_ADVERSARIAL_RECOMMENDATION","","","FALSE",""
"EO14409-REQ-020","IADJ-020","ARV-020","CHL-020","FED-EO-14409","RELATED","RELATED","","RELATED","R4_ADVERSARIAL_RECOMMENDATION","AAS-EVD-004;AAS-EVD-017","AAS-EVD-004;AAS-EVD-017","FALSE",""
"EO14409-REQ-021","IADJ-021","ARV-021","CHL-021","FED-EO-14409","ADDRESSED","PARTIALLY_ADDRESSED","","PARTIALLY_ADDRESSED","R4_ADVERSARIAL_RECOMMENDATION","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-017;AAS-EVD-018;AAS-EVD-019;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-017;AAS-EVD-018;AAS-EVD-019;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","FALSE",""
"EO14409-REQ-022","IADJ-022","ARV-022","CHL-022","FED-EO-14409","GAP","GAP","","GAP","R4_ADVERSARIAL_RECOMMENDATION","","","FALSE",""
"EO14409-REQ-023","IADJ-023","ARV-023","CHL-023","FED-EO-14409","ADDRESSED","PARTIALLY_ADDRESSED","","PARTIALLY_ADDRESSED","R4_ADVERSARIAL_RECOMMENDATION","RA-EVD-010","RA-EVD-010","FALSE",""
"EO14409-REQ-024","IADJ-024","ARV-024","CHL-024","FED-EO-14409","NOT_APPLICABLE","NOT_APPLICABLE","","NOT_APPLICABLE","R4_ADVERSARIAL_RECOMMENDATION","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-017;AAS-EVD-018;AAS-EVD-019;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-017;AAS-EVD-018;AAS-EVD-019;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","FALSE",""
"EO14409-REQ-025","IADJ-025","ARV-025","CHL-025","FED-EO-14409","UNRESOLVED","UNRESOLVED","","NOT_APPLICABLE","PASS_05A_R5B_EXPLICIT_APPLICABILITY_ADJUDICATION","","","FALSE",""
"MN-HF1606-REQ-001","IADJ-026","ARV-026","CHL-026","MN-HF-1606","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","","PARTIALLY_ADDRESSED","R4_ADVERSARIAL_RECOMMENDATION","RA-EVD-003;RA-EVD-008","RA-EVD-003;RA-EVD-008","FALSE",""
"MN-HF1606-REQ-002","IADJ-027","ARV-027","CHL-027","MN-HF-1606","UNRESOLVED","UNRESOLVED","","GAP","PASS_05A_R5B_EXPLICIT_APPLICABILITY_ADJUDICATION","","","FALSE",""
"MN-HF1606-REQ-003","IADJ-028","ARV-028","CHL-028","MN-HF-1606","UNRESOLVED","UNRESOLVED","","NOT_APPLICABLE","PASS_05A_R5B_EXPLICIT_APPLICABILITY_ADJUDICATION","","","FALSE",""
"MN-HF1606-REQ-004","IADJ-029","ARV-029","CHL-029","MN-HF-1606","UNRESOLVED","UNRESOLVED","","RELATED","PASS_05A_R5B_EXPLICIT_APPLICABILITY_ADJUDICATION","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-018;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-018;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","FALSE",""
"MN-HF1606-REQ-005","IADJ-030","ARV-030","CHL-030","MN-HF-1606","UNRESOLVED","UNRESOLVED","","NOT_APPLICABLE","PASS_05A_R5B_EXPLICIT_APPLICABILITY_ADJUDICATION","","","FALSE",""
"MN-HF1606-REQ-006","IADJ-031","ARV-031","CHL-031","MN-HF-1606","UNRESOLVED","UNRESOLVED","","NOT_APPLICABLE","PASS_05A_R5B_EXPLICIT_APPLICABILITY_ADJUDICATION","","","FALSE",""
"MN-HF1606-REQ-007","IADJ-032","ARV-032","CHL-032","MN-HF-1606","NOT_APPLICABLE","NOT_APPLICABLE","","NOT_APPLICABLE","R4_ADVERSARIAL_RECOMMENDATION","","","FALSE",""
"MN-HF1606-REQ-008","IADJ-033","ARV-033","CHL-033","MN-HF-1606","GAP","GAP","","GAP","R4_ADVERSARIAL_RECOMMENDATION","","","FALSE",""
"MN-HF1606-REQ-009","IADJ-034","ARV-034","CHL-034","MN-HF-1606","NOT_APPLICABLE","NOT_APPLICABLE","","NOT_APPLICABLE","R4_ADVERSARIAL_RECOMMENDATION","","","FALSE",""
