"adjudication_id","requirement_id","source_id","source_name","source_text","central_duty","supporting_duties","architectural_applicability","applicability_rationale","normalized_type_ids","evidence_ids","evidence_mechanisms","evidence_scope_limits","functional_performance","functional_performance_rationale","material_residuals","trace_final_verdict","adversarial_recommended_verdict","release_verdict","verdict_basis","confidence","recommendation","recommendation_rationale","attacks_executed","attacks_survived","attacks_failed","failed_attack_classes","challenge_id","challenge_resolution_status","challenge_resolution_rationale","human_review_complete","human_decision","human_rationale","exception_review_required","exception_reason","legal_compliance_determination","external_legal_authority_preserved","methodology_state","trace_method_version","adversarial_review_method_version","release_target"
"IADJ-011","EO14409-REQ-011","FED-EO-14409","Executive Order 14409","Determine whether relevant Federal grant funding is available for advanced AI vulnerability detection","Determine whether relevant Federal grant funding is available for advanced AI vulnerability detection","actor=Director of OMB;actor_class=FEDERAL_OFFICIAL;private_company_effect=POTENTIAL_FUNDING_OPPORTUNITY;collaboration_status=NOT_APPLICABLE","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","GOV-003","","","","NONE","Deterministic functional-performance state: NONE.","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","GAP","GAP","GAP","R4_ADVERSARIAL_RECOMMENDATION","HIGH","UPHOLD","The provisional verdict survived all eight attacks.","8","8","0","","CHL-011","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","R3C_R4_VALIDATED_CONSOLIDATION","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-012","EO14409-REQ-012","FED-EO-14409","Executive Order 14409","Expand United States Tech Force Information Cybersecurity Specialist hiring and placement pathways","Expand United States Tech Force Information Cybersecurity Specialist hiring and placement pathways","actor=Director of OPM;actor_class=FEDERAL_OFFICIAL;private_company_effect=NONE_DIRECT;collaboration_status=NOT_APPLICABLE","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","GOV-002","","","","NONE","Deterministic functional-performance state: NONE.","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","GAP","GAP","GAP","R4_ADVERSARIAL_RECOMMENDATION","HIGH","UPHOLD","The provisional verdict survived all eight attacks.","8","8","0","","CHL-012","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","R3C_R4_VALIDATED_CONSOLIDATION","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-013","EO14409-REQ-013","FED-EO-14409","Executive Order 14409","Develop and maintain a classified process for benchmarking advanced cyber capabilities of AI models","Develop and maintain a classified process for benchmarking advanced cyber capabilities of AI models","actor=Designated Federal officials;actor_class=FEDERAL_MULTI_AGENCY;private_company_effect=POTENTIAL_EVALUATION_EFFECT;collaboration_status=INFORMATION_SHARING_AS_APPROPRIATE","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","EVD-005;SEC-001;TST-001","","","","NONE","Deterministic functional-performance state: NONE.","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","GAP","GAP","GAP","R4_ADVERSARIAL_RECOMMENDATION","HIGH","UPHOLD","The provisional verdict survived all eight attacks.","8","8","0","","CHL-013","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","R3C_R4_VALIDATED_CONSOLIDATION","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-014","EO14409-REQ-014","FED-EO-14409","Executive Order 14409","Determine the threshold for designating an AI model as a covered frontier model","Determine the threshold for designating an AI model as a covered frontier model","actor=Designated Federal officials;actor_class=FEDERAL_MULTI_AGENCY;private_company_effect=POTENTIAL_CLASSIFICATION_EFFECT;collaboration_status=INFORMATION_SHARING_AS_APPROPRIATE","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","CLS-002;SCP-002","","","","NONE","Deterministic functional-performance state: NONE.","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","GAP","GAP","GAP","R4_ADVERSARIAL_RECOMMENDATION","HIGH","UPHOLD","The provisional verdict survived all eight attacks.","8","8","0","","CHL-014","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","R3C_R4_VALIDATED_CONSOLIDATION","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-015","EO14409-REQ-015","FED-EO-14409","Executive Order 14409","Make covered-frontier-model determinations in consultation with designated officials","Make covered-frontier-model determinations in consultation with designated officials","actor=Director of NSA;actor_class=FEDERAL_OFFICIAL;private_company_effect=POTENTIAL_CLASSIFICATION_EFFECT;collaboration_status=NOT_APPLICABLE","PARTIALLY_ARCHITECTURAL","ORYNTH provides specification primacy, evidence classification, ternary determination, authorization separation, and governed-stage mechanisms that can support a frontier-model determination process. Statutory designation authority and consultation with named federal officials remain external.","AUTH-001;CLS-001","AAS-EVD-008;AAS-EVD-012;AAS-EVD-019;RA-EVD-001;RA-EVD-003","AUTHORIZATION_EXECUTION_SEPARATION;EVIDENCE_CLASSIFICATION;GOVERNED_STAGE_SEPARATION;SPECIFICATION_PRIMACY;TERNARY_DETERMINATION","Domain-specific designation criteria, statutory authority, designated-official consultation, and government adoption remain required.","DIRECT","Deterministic functional-performance state: DIRECT.","APPLICABILITY_REQUIRES_REVIEW","UNRESOLVED","UNRESOLVED","PARTIALLY_ADDRESSED","PASS_05A_R5B_EXPLICIT_APPLICABILITY_ADJUDICATION","LOW","RECLASSIFY","ORYNTH provides specification primacy, evidence classification, ternary determination, authorization separation, and governed-stage mechanisms that can support a frontier-model determination process. Statutory designation authority and consultation with named federal officials remain external.","8","7","1","APPLICABILITY","CHL-015","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","PASS_05A_R5B_APPLICABILITY_ADJUDICATED","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-016","EO14409-REQ-016","FED-EO-14409","Executive Order 14409","Design a voluntary framework with AI developers","Design a voluntary framework with AI developers","actor=Designated Federal officials;actor_class=FEDERAL_MULTI_AGENCY;private_company_effect=VOLUNTARY_PARTICIPATION;collaboration_status=VOLUNTARY","NON_ARCHITECTURAL","Designing a voluntary federal framework with private developers is a policy, stakeholder-engagement, and governmental program-design responsibility rather than a function performed by the ORYNTH architecture.","GOV-001;VOL-004","","","Framework authorship, stakeholder consultation, governmental adoption, and voluntary participation remain responsibilities of external actors.","NONE","Deterministic functional-performance state: NONE.","APPLICABILITY_REQUIRES_REVIEW","UNRESOLVED","UNRESOLVED","NOT_APPLICABLE","PASS_05A_R5B_EXPLICIT_APPLICABILITY_ADJUDICATION","LOW","RECLASSIFY","Designing a voluntary federal framework with private developers is a policy, stakeholder-engagement, and governmental program-design responsibility rather than a function performed by the ORYNTH architecture.","8","7","1","APPLICABILITY","CHL-016","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","PASS_05A_R5B_APPLICABILITY_ADJUDICATED","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-017","EO14409-REQ-017","FED-EO-14409","Executive Order 14409","Engage the Federal Government to determine whether models under development meet the covered-frontier-model designation","Engage the Federal Government to determine whether models under development meet the covered-frontier-model designation","actor=AI developers;actor_class=PRIVATE_ACTOR;private_company_effect=VOLUNTARY;collaboration_status=VOLUNTARY","PARTIALLY_ARCHITECTURAL","ORYNTH evidence-classification and determination mechanisms can structure information used during a model-designation inquiry. They do not perform developer engagement with the Federal Government or create the legal designation.","CLS-001;VOL-001","AAS-EVD-008;AAS-EVD-012;RA-EVD-001","AUTHORIZATION_EXECUTION_SEPARATION;EVIDENCE_CLASSIFICATION;TERNARY_DETERMINATION","Government engagement, submission procedures, statutory criteria, official consultation, and designation authority remain external.","ADJACENT","Deterministic functional-performance state: ADJACENT.","APPLICABILITY_REQUIRES_REVIEW","UNRESOLVED","UNRESOLVED","RELATED","PASS_05A_R5B_EXPLICIT_APPLICABILITY_ADJUDICATION","LOW","RECLASSIFY","ORYNTH evidence-classification and determination mechanisms can structure information used during a model-designation inquiry. They do not perform developer engagement with the Federal Government or create the legal designation.","8","7","1","APPLICABILITY","CHL-017","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","PASS_05A_R5B_APPLICABILITY_ADJUDICATED","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-018","EO14409-REQ-018","FED-EO-14409","Executive Order 14409","Provide the Federal Government access to covered frontier models for up to 30 days before release to other trusted partners","Provide the Federal Government access to covered frontier models for up to 30 days before release to other trusted partners","actor=Participating AI developers;actor_class=PRIVATE_ACTOR;private_company_effect=VOLUNTARY;collaboration_status=VOLUNTARY","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","EVD-004;SEC-002;VOL-003","AAS-EVD-004;AAS-EVD-017;RA-EVD-017","AUDIT_NONINTERFERENCE;MULTI_SOURCE_VALIDATION_EVIDENCE;ONE_WAY_INDEPENDENCE_BOUNDARY","Architectural independence is not complete institutional independence.;Not a complete procedural ethics standard.;Presence does not automatically establish admissibility.","PARTIAL","Deterministic functional-performance state: PARTIAL.","MATERIAL_ARCHITECTURAL_OR_IMPLEMENTATION_COMPONENT_REMAINS","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","R4_ADVERSARIAL_RECOMMENDATION","MEDIUM","UPHOLD","The provisional verdict survived all eight attacks.","8","8","0","","CHL-018","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","R3C_R4_VALIDATED_CONSOLIDATION","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-019","EO14409-REQ-019","FED-EO-14409","Executive Order 14409","Apply appropriate confidentiality, cybersecurity, insider-risk, intellectual-property, use, and nondisclosure protections","Apply appropriate confidentiality, cybersecurity, insider-risk, intellectual-property, use, and nondisclosure protections","actor=Federal Government;actor_class=FEDERAL_MULTI_AGENCY;private_company_effect=PROTECTION_FOR_PARTICIPANTS;collaboration_status=TRIGGERED_BY_VOLUNTARY_PARTICIPATION","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","EVD-005;SEC-001;SEC-003;SEC-004","","","","NONE","Deterministic functional-performance state: NONE.","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","GAP","GAP","GAP","R4_ADVERSARIAL_RECOMMENDATION","HIGH","UPHOLD","The provisional verdict survived all eight attacks.","8","8","0","","CHL-019","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","R3C_R4_VALIDATED_CONSOLIDATION","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-020","EO14409-REQ-020","FED-EO-14409","Executive Order 14409","Collaborate to select trusted partners for early access to covered frontier models","Collaborate to select trusted partners for early access to covered frontier models","actor=Participating AI developers and Federal Government;actor_class=PUBLIC_PRIVATE_COLLABORATION;private_company_effect=VOLUNTARY;collaboration_status=VOLUNTARY","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","SEC-002;VOL-004","AAS-EVD-004;AAS-EVD-017","AUDIT_NONINTERFERENCE;ONE_WAY_INDEPENDENCE_BOUNDARY","Architectural independence is not complete institutional independence.;Not a complete procedural ethics standard.","ADJACENT","Deterministic functional-performance state: ADJACENT.","CENTRAL_DUTY_NOT_FUNCTIONALLY_PERFORMED","RELATED","RELATED","RELATED","R4_ADVERSARIAL_RECOMMENDATION","MEDIUM","UPHOLD","The provisional verdict survived all eight attacks.","8","8","0","","CHL-020","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","R3C_R4_VALIDATED_CONSOLIDATION","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-021","EO14409-REQ-021","FED-EO-14409","Executive Order 14409","Do not construe section 3 as authorizing mandatory model licensing, preclearance, or permitting","Do not construe section 3 as authorizing mandatory model licensing, preclearance, or permitting","actor=Federal Government;actor_class=FEDERAL_AUTHORITY_BOUNDARY;private_company_effect=PROTECTIVE_LIMITATION;collaboration_status=NOT_APPLICABLE","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","AUTH-002;SCP-001","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-017;AAS-EVD-018;AAS-EVD-019;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","ASSURANCE_LAYER_BOUNDARY;AUDIT_SCOPE_EXCLUSIONS;DOMAIN_RESPONSIBILITY_BOUNDARY;IMPLEMENTATION_VALIDATION_BOUNDARY;INFERENCE_BOUNDARY;INTEGRATION_BOUNDARY;ONE_WAY_INDEPENDENCE_BOUNDARY;ORGANIZATIONAL_AUTHORITY_BOUNDARY;SCOPE_FIXATION;SPECIFICATION_PRIMACY;TEMPORAL_CONFORMANCE_BOUNDARY","Adopting organization retains operational responsibility.;Cannot substitute for domain law.;Does not guarantee future conformance.;Does not replace policy, authority, or infrastructure.;Does not supply legal authority.;Independent deployments require separate validation.;Limits audit claims rather than runtime.;Not a complete procedural ethics standard.;Prohibits legal-certification interpretation.;Tool use alone does not prove valid audit.;Unscoped properties remain unevaluated.","DIRECT","Deterministic functional-performance state: DIRECT.","NO_MATERIAL_ARCHITECTURAL_RESIDUAL;EXTERNAL_AUTHORITY_POLICY_AND_DEPLOYMENT_REMAIN","ADDRESSED","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","R4_ADVERSARIAL_RECOMMENDATION","HIGH","DOWNGRADE","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","8","7","1","EVIDENCE_SCOPE","CHL-021","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","R3C_R4_VALIDATED_CONSOLIDATION","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
