"evidence_use_id","adjudication_id","requirement_id","source_id","provisional_verdict","evidence_id","artifact_id","overlapping_type_id","evidence_name","mechanism","evidence_strength","scope_limit","derivation_state","functional_use_state","legal_compliance_claim"
"PEUL-0011","IADJ-008","EO14409-REQ-008","FED-EO-14409","UNRESOLVED","RA-EVD-011","ORYNTH-RA-001","TST-003","Governed architectural change","GOVERNED_EVOLUTION","DIRECT_ARCHITECTURAL","Does not govern legislative amendment.","NORMALIZED_TAXONOMY_OVERLAP","ADJACENT","NONE"
"PEUL-0012","IADJ-008","EO14409-REQ-008","FED-EO-14409","UNRESOLVED","RA-EVD-015","ORYNTH-RA-001","TST-003","Reference-state maintenance","REFERENCE_STATE_MAINTENANCE","DIRECT_ARCHITECTURAL","Does not itself monitor legislation.","NORMALIZED_TAXONOMY_OVERLAP","ADJACENT","NONE"
"PEUL-0013","IADJ-008","EO14409-REQ-008","FED-EO-14409","UNRESOLVED","RA-EVD-016","ORYNTH-RA-001","TST-003","Reference-state validation","REFERENCE_STATE_VALIDATION","DIRECT_ASSURANCE","Does not certify independent deployments.","NORMALIZED_TAXONOMY_OVERLAP","ADJACENT","NONE"
"PEUL-0014","IADJ-009","EO14409-REQ-009","FED-EO-14409","PARTIALLY_ADDRESSED","AAS-EVD-009","ORYNTH-AAS-001","TST-003","Evidence admissibility gate","EVIDENCE_ADMISSIBILITY_GATE","DIRECT_EVIDENTIARY","Applies to audit evidence, not operational action.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0015","IADJ-009","EO14409-REQ-009","FED-EO-14409","PARTIALLY_ADDRESSED","RA-EVD-004","ORYNTH-RA-001","TST-003","Execution eligibility determination","EXECUTION_ELIGIBILITY_GATE","DIRECT_ARCHITECTURAL","External policy supplies eligibility criteria.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0016","IADJ-009","EO14409-REQ-009","FED-EO-14409","PARTIALLY_ADDRESSED","RA-EVD-007","ORYNTH-RA-001","TST-003","Condition reconciliation","CONDITION_RECONCILIATION","DIRECT_ARCHITECTURAL","Requires external condition and policy inputs.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0017","IADJ-009","EO14409-REQ-009","FED-EO-14409","PARTIALLY_ADDRESSED","RA-EVD-011","ORYNTH-RA-001","TST-003","Governed architectural change","GOVERNED_EVOLUTION","DIRECT_ARCHITECTURAL","Does not govern legislative amendment.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0018","IADJ-009","EO14409-REQ-009","FED-EO-14409","PARTIALLY_ADDRESSED","RA-EVD-015","ORYNTH-RA-001","TST-003","Reference-state maintenance","REFERENCE_STATE_MAINTENANCE","DIRECT_ARCHITECTURAL","Does not itself monitor legislation.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0019","IADJ-009","EO14409-REQ-009","FED-EO-14409","PARTIALLY_ADDRESSED","RA-EVD-016","ORYNTH-RA-001","TST-003","Reference-state validation","REFERENCE_STATE_VALIDATION","DIRECT_ASSURANCE","Does not certify independent deployments.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0020","IADJ-015","EO14409-REQ-015","FED-EO-14409","UNRESOLVED","AAS-EVD-019","ORYNTH-AAS-001","AUTH-001","Specification primacy","SPECIFICATION_PRIMACY","DIRECT_BOUNDARY","Tool use alone does not prove valid audit.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0021","IADJ-015","EO14409-REQ-015","FED-EO-14409","UNRESOLVED","RA-EVD-003","ORYNTH-RA-001","AUTH-001","Governed stage separation","GOVERNED_STAGE_SEPARATION","DIRECT_ARCHITECTURAL","Does not assign statutory actors.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0022","IADJ-015","EO14409-REQ-015","FED-EO-14409","UNRESOLVED","AAS-EVD-008","ORYNTH-AAS-001","CLS-001","Evidence classification","EVIDENCE_CLASSIFICATION","DIRECT_EVIDENTIARY","Classification does not itself establish admissibility.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0023","IADJ-015","EO14409-REQ-015","FED-EO-14409","UNRESOLVED","AAS-EVD-012","ORYNTH-AAS-001","CLS-001","Three-state determination","TERNARY_DETERMINATION","DIRECT_AUDIT","Indeterminate is distinct from the other verdicts.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0024","IADJ-015","EO14409-REQ-015","FED-EO-14409","UNRESOLVED","RA-EVD-001","ORYNTH-RA-001","CLS-001","Authorization and execution separation","AUTHORIZATION_EXECUTION_SEPARATION","DIRECT_ARCHITECTURAL","Does not define domain-specific legal authorization.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0025","IADJ-017","EO14409-REQ-017","FED-EO-14409","UNRESOLVED","AAS-EVD-008","ORYNTH-AAS-001","CLS-001","Evidence classification","EVIDENCE_CLASSIFICATION","DIRECT_EVIDENTIARY","Classification does not itself establish admissibility.","NORMALIZED_TAXONOMY_OVERLAP","ADJACENT","NONE"
"PEUL-0026","IADJ-017","EO14409-REQ-017","FED-EO-14409","UNRESOLVED","AAS-EVD-012","ORYNTH-AAS-001","CLS-001","Three-state determination","TERNARY_DETERMINATION","DIRECT_AUDIT","Indeterminate is distinct from the other verdicts.","NORMALIZED_TAXONOMY_OVERLAP","ADJACENT","NONE"
"PEUL-0027","IADJ-017","EO14409-REQ-017","FED-EO-14409","UNRESOLVED","RA-EVD-001","ORYNTH-RA-001","CLS-001","Authorization and execution separation","AUTHORIZATION_EXECUTION_SEPARATION","DIRECT_ARCHITECTURAL","Does not define domain-specific legal authorization.","NORMALIZED_TAXONOMY_OVERLAP","ADJACENT","NONE"
"PEUL-0028","IADJ-018","EO14409-REQ-018","FED-EO-14409","PARTIALLY_ADDRESSED","RA-EVD-017","ORYNTH-RA-001","EVD-004","Multiple validation sources","MULTI_SOURCE_VALIDATION_EVIDENCE","DIRECT_EVIDENTIARY","Presence does not automatically establish admissibility.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0029","IADJ-018","EO14409-REQ-018","FED-EO-14409","PARTIALLY_ADDRESSED","AAS-EVD-004","ORYNTH-AAS-001","SEC-002","Audit noninterference","AUDIT_NONINTERFERENCE","DIRECT_AUDIT","Architectural independence is not complete institutional independence.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0030","IADJ-018","EO14409-REQ-018","FED-EO-14409","PARTIALLY_ADDRESSED","AAS-EVD-017","ORYNTH-AAS-001","SEC-002","One-way independence boundary","ONE_WAY_INDEPENDENCE_BOUNDARY","DIRECT_AUDIT","Not a complete procedural ethics standard.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0031","IADJ-020","EO14409-REQ-020","FED-EO-14409","RELATED","AAS-EVD-004","ORYNTH-AAS-001","SEC-002","Audit noninterference","AUDIT_NONINTERFERENCE","DIRECT_AUDIT","Architectural independence is not complete institutional independence.","NORMALIZED_TAXONOMY_OVERLAP","ADJACENT","NONE"
"PEUL-0032","IADJ-020","EO14409-REQ-020","FED-EO-14409","RELATED","AAS-EVD-017","ORYNTH-AAS-001","SEC-002","One-way independence boundary","ONE_WAY_INDEPENDENCE_BOUNDARY","DIRECT_AUDIT","Not a complete procedural ethics standard.","NORMALIZED_TAXONOMY_OVERLAP","ADJACENT","NONE"
"PEUL-0033","IADJ-021","EO14409-REQ-021","FED-EO-14409","ADDRESSED","AAS-EVD-013","ORYNTH-AAS-001","AUTH-002","Unsupported-inference boundary","INFERENCE_BOUNDARY","DIRECT_BOUNDARY","Limits audit claims rather than runtime.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0034","IADJ-021","EO14409-REQ-021","FED-EO-14409","ADDRESSED","AAS-EVD-016","ORYNTH-AAS-001","AUTH-002","Point-in-time conclusion","TEMPORAL_CONFORMANCE_BOUNDARY","DIRECT_BOUNDARY","Does not guarantee future conformance.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0035","IADJ-021","EO14409-REQ-021","FED-EO-14409","ADDRESSED","AAS-EVD-017","ORYNTH-AAS-001","AUTH-002","One-way independence boundary","ONE_WAY_INDEPENDENCE_BOUNDARY","DIRECT_AUDIT","Not a complete procedural ethics standard.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0036","IADJ-021","EO14409-REQ-021","FED-EO-14409","ADDRESSED","AAS-EVD-018","ORYNTH-AAS-001","AUTH-002","Explicit audit exclusions","AUDIT_SCOPE_EXCLUSIONS","DIRECT_BOUNDARY","Prohibits legal-certification interpretation.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0037","IADJ-021","EO14409-REQ-021","FED-EO-14409","ADDRESSED","AAS-EVD-019","ORYNTH-AAS-001","AUTH-002","Specification primacy","SPECIFICATION_PRIMACY","DIRECT_BOUNDARY","Tool use alone does not prove valid audit.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0038","IADJ-021","EO14409-REQ-021","FED-EO-14409","ADDRESSED","RA-EVD-014","ORYNTH-RA-001","AUTH-002","Domain responsibility boundary","DOMAIN_RESPONSIBILITY_BOUNDARY","DIRECT_BOUNDARY","Cannot substitute for domain law.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0039","IADJ-021","EO14409-REQ-021","FED-EO-14409","ADDRESSED","RA-EVD-019","ORYNTH-RA-001","AUTH-002","Independent implementation limitation","IMPLEMENTATION_VALIDATION_BOUNDARY","DIRECT_BOUNDARY","Independent deployments require separate validation.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0040","IADJ-021","EO14409-REQ-021","FED-EO-14409","ADDRESSED","AAS-EVD-005","ORYNTH-AAS-001","SCP-001","Fixed audit scope","SCOPE_FIXATION","DIRECT_AUDIT","Unscoped properties remain unevaluated.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0041","IADJ-021","EO14409-REQ-021","FED-EO-14409","ADDRESSED","AAS-EVD-013","ORYNTH-AAS-001","SCP-001","Unsupported-inference boundary","INFERENCE_BOUNDARY","DIRECT_BOUNDARY","Limits audit claims rather than runtime.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0042","IADJ-021","EO14409-REQ-021","FED-EO-14409","ADDRESSED","AAS-EVD-016","ORYNTH-AAS-001","SCP-001","Point-in-time conclusion","TEMPORAL_CONFORMANCE_BOUNDARY","DIRECT_BOUNDARY","Does not guarantee future conformance.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0043","IADJ-021","EO14409-REQ-021","FED-EO-14409","ADDRESSED","AAS-EVD-018","ORYNTH-AAS-001","SCP-001","Explicit audit exclusions","AUDIT_SCOPE_EXCLUSIONS","DIRECT_BOUNDARY","Prohibits legal-certification interpretation.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0044","IADJ-021","EO14409-REQ-021","FED-EO-14409","ADDRESSED","RA-EVD-009","ORYNTH-RA-001","SCP-001","Organizational integration boundary","INTEGRATION_BOUNDARY","STRUCTURAL","Adopting organization retains operational responsibility.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0045","IADJ-021","EO14409-REQ-021","FED-EO-14409","ADDRESSED","RA-EVD-010","ORYNTH-RA-001","SCP-001","Authority preservation","ORGANIZATIONAL_AUTHORITY_BOUNDARY","DIRECT_BOUNDARY","Does not supply legal authority.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0046","IADJ-021","EO14409-REQ-021","FED-EO-14409","ADDRESSED","RA-EVD-014","ORYNTH-RA-001","SCP-001","Domain responsibility boundary","DOMAIN_RESPONSIBILITY_BOUNDARY","DIRECT_BOUNDARY","Cannot substitute for domain law.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0047","IADJ-021","EO14409-REQ-021","FED-EO-14409","ADDRESSED","RA-EVD-019","ORYNTH-RA-001","SCP-001","Independent implementation limitation","IMPLEMENTATION_VALIDATION_BOUNDARY","DIRECT_BOUNDARY","Independent deployments require separate validation.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0048","IADJ-021","EO14409-REQ-021","FED-EO-14409","ADDRESSED","RA-EVD-020","ORYNTH-RA-001","SCP-001","Governance and assurance layer","ASSURANCE_LAYER_BOUNDARY","STRUCTURAL","Does not replace policy, authority, or infrastructure.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0049","IADJ-023","EO14409-REQ-023","FED-EO-14409","ADDRESSED","RA-EVD-010","ORYNTH-RA-001","AUTH-003","Authority preservation","ORGANIZATIONAL_AUTHORITY_BOUNDARY","DIRECT_BOUNDARY","Does not supply legal authority.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0050","IADJ-024","EO14409-REQ-024","FED-EO-14409","NOT_APPLICABLE","AAS-EVD-013","ORYNTH-AAS-001","AUTH-002","Unsupported-inference boundary","INFERENCE_BOUNDARY","DIRECT_BOUNDARY","Limits audit claims rather than runtime.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0051","IADJ-024","EO14409-REQ-024","FED-EO-14409","NOT_APPLICABLE","AAS-EVD-016","ORYNTH-AAS-001","AUTH-002","Point-in-time conclusion","TEMPORAL_CONFORMANCE_BOUNDARY","DIRECT_BOUNDARY","Does not guarantee future conformance.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0052","IADJ-024","EO14409-REQ-024","FED-EO-14409","NOT_APPLICABLE","AAS-EVD-017","ORYNTH-AAS-001","AUTH-002","One-way independence boundary","ONE_WAY_INDEPENDENCE_BOUNDARY","DIRECT_AUDIT","Not a complete procedural ethics standard.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0053","IADJ-024","EO14409-REQ-024","FED-EO-14409","NOT_APPLICABLE","AAS-EVD-018","ORYNTH-AAS-001","AUTH-002","Explicit audit exclusions","AUDIT_SCOPE_EXCLUSIONS","DIRECT_BOUNDARY","Prohibits legal-certification interpretation.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0054","IADJ-024","EO14409-REQ-024","FED-EO-14409","NOT_APPLICABLE","AAS-EVD-019","ORYNTH-AAS-001","AUTH-002","Specification primacy","SPECIFICATION_PRIMACY","DIRECT_BOUNDARY","Tool use alone does not prove valid audit.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0055","IADJ-024","EO14409-REQ-024","FED-EO-14409","NOT_APPLICABLE","RA-EVD-014","ORYNTH-RA-001","AUTH-002","Domain responsibility boundary","DOMAIN_RESPONSIBILITY_BOUNDARY","DIRECT_BOUNDARY","Cannot substitute for domain law.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0056","IADJ-024","EO14409-REQ-024","FED-EO-14409","NOT_APPLICABLE","RA-EVD-019","ORYNTH-RA-001","AUTH-002","Independent implementation limitation","IMPLEMENTATION_VALIDATION_BOUNDARY","DIRECT_BOUNDARY","Independent deployments require separate validation.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0057","IADJ-024","EO14409-REQ-024","FED-EO-14409","NOT_APPLICABLE","AAS-EVD-005","ORYNTH-AAS-001","SCP-001","Fixed audit scope","SCOPE_FIXATION","DIRECT_AUDIT","Unscoped properties remain unevaluated.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0058","IADJ-024","EO14409-REQ-024","FED-EO-14409","NOT_APPLICABLE","AAS-EVD-013","ORYNTH-AAS-001","SCP-001","Unsupported-inference boundary","INFERENCE_BOUNDARY","DIRECT_BOUNDARY","Limits audit claims rather than runtime.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0059","IADJ-024","EO14409-REQ-024","FED-EO-14409","NOT_APPLICABLE","AAS-EVD-016","ORYNTH-AAS-001","SCP-001","Point-in-time conclusion","TEMPORAL_CONFORMANCE_BOUNDARY","DIRECT_BOUNDARY","Does not guarantee future conformance.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0060","IADJ-024","EO14409-REQ-024","FED-EO-14409","NOT_APPLICABLE","AAS-EVD-018","ORYNTH-AAS-001","SCP-001","Explicit audit exclusions","AUDIT_SCOPE_EXCLUSIONS","DIRECT_BOUNDARY","Prohibits legal-certification interpretation.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0061","IADJ-024","EO14409-REQ-024","FED-EO-14409","NOT_APPLICABLE","RA-EVD-009","ORYNTH-RA-001","SCP-001","Organizational integration boundary","INTEGRATION_BOUNDARY","STRUCTURAL","Adopting organization retains operational responsibility.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0062","IADJ-024","EO14409-REQ-024","FED-EO-14409","NOT_APPLICABLE","RA-EVD-010","ORYNTH-RA-001","SCP-001","Authority preservation","ORGANIZATIONAL_AUTHORITY_BOUNDARY","DIRECT_BOUNDARY","Does not supply legal authority.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0063","IADJ-024","EO14409-REQ-024","FED-EO-14409","NOT_APPLICABLE","RA-EVD-014","ORYNTH-RA-001","SCP-001","Domain responsibility boundary","DOMAIN_RESPONSIBILITY_BOUNDARY","DIRECT_BOUNDARY","Cannot substitute for domain law.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0064","IADJ-024","EO14409-REQ-024","FED-EO-14409","NOT_APPLICABLE","RA-EVD-019","ORYNTH-RA-001","SCP-001","Independent implementation limitation","IMPLEMENTATION_VALIDATION_BOUNDARY","DIRECT_BOUNDARY","Independent deployments require separate validation.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0065","IADJ-024","EO14409-REQ-024","FED-EO-14409","NOT_APPLICABLE","RA-EVD-020","ORYNTH-RA-001","SCP-001","Governance and assurance layer","ASSURANCE_LAYER_BOUNDARY","STRUCTURAL","Does not replace policy, authority, or infrastructure.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0066","IADJ-026","MN-HF1606-REQ-001","MN-HF-1606","PARTIALLY_ADDRESSED","RA-EVD-003","ORYNTH-RA-001","EXE-002","Governed stage separation","GOVERNED_STAGE_SEPARATION","DIRECT_ARCHITECTURAL","Does not assign statutory actors.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0067","IADJ-026","MN-HF1606-REQ-001","MN-HF-1606","PARTIALLY_ADDRESSED","RA-EVD-008","ORYNTH-RA-001","EXE-002","Execution denial","EXECUTION_DENIAL","DIRECT_ARCHITECTURAL","Does not define every domain prohibition.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0068","IADJ-029","MN-HF1606-REQ-004","MN-HF-1606","UNRESOLVED","AAS-EVD-005","ORYNTH-AAS-001","SCP-001","Fixed audit scope","SCOPE_FIXATION","DIRECT_AUDIT","Unscoped properties remain unevaluated.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0069","IADJ-029","MN-HF1606-REQ-004","MN-HF-1606","UNRESOLVED","AAS-EVD-013","ORYNTH-AAS-001","SCP-001","Unsupported-inference boundary","INFERENCE_BOUNDARY","DIRECT_BOUNDARY","Limits audit claims rather than runtime.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0070","IADJ-029","MN-HF1606-REQ-004","MN-HF-1606","UNRESOLVED","AAS-EVD-016","ORYNTH-AAS-001","SCP-001","Point-in-time conclusion","TEMPORAL_CONFORMANCE_BOUNDARY","DIRECT_BOUNDARY","Does not guarantee future conformance.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0071","IADJ-029","MN-HF1606-REQ-004","MN-HF-1606","UNRESOLVED","AAS-EVD-018","ORYNTH-AAS-001","SCP-001","Explicit audit exclusions","AUDIT_SCOPE_EXCLUSIONS","DIRECT_BOUNDARY","Prohibits legal-certification interpretation.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0072","IADJ-029","MN-HF1606-REQ-004","MN-HF-1606","UNRESOLVED","RA-EVD-009","ORYNTH-RA-001","SCP-001","Organizational integration boundary","INTEGRATION_BOUNDARY","STRUCTURAL","Adopting organization retains operational responsibility.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0073","IADJ-029","MN-HF1606-REQ-004","MN-HF-1606","UNRESOLVED","RA-EVD-010","ORYNTH-RA-001","SCP-001","Authority preservation","ORGANIZATIONAL_AUTHORITY_BOUNDARY","DIRECT_BOUNDARY","Does not supply legal authority.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0074","IADJ-029","MN-HF1606-REQ-004","MN-HF-1606","UNRESOLVED","RA-EVD-014","ORYNTH-RA-001","SCP-001","Domain responsibility boundary","DOMAIN_RESPONSIBILITY_BOUNDARY","DIRECT_BOUNDARY","Cannot substitute for domain law.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0075","IADJ-029","MN-HF1606-REQ-004","MN-HF-1606","UNRESOLVED","RA-EVD-019","ORYNTH-RA-001","SCP-001","Independent implementation limitation","IMPLEMENTATION_VALIDATION_BOUNDARY","DIRECT_BOUNDARY","Independent deployments require separate validation.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0076","IADJ-029","MN-HF1606-REQ-004","MN-HF-1606","UNRESOLVED","RA-EVD-020","ORYNTH-RA-001","SCP-001","Governance and assurance layer","ASSURANCE_LAYER_BOUNDARY","STRUCTURAL","Does not replace policy, authority, or infrastructure.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
