"adjudication_id","requirement_id","source_id","source_name","source_text","central_duty","supporting_duties","architectural_applicability","applicability_rationale","normalized_type_ids","evidence_ids","evidence_mechanisms","evidence_scope_limits","functional_performance","functional_performance_rationale","material_residuals","proposed_verdict","final_verdict","confidence","neighbor_verdict_counterfactual","human_review_status","challenge_status","challenge_rationale","legal_compliance_determination","external_legal_authority_preserved","no_quota_assertion","row_sealed","method_version"
"IADJ-012","EO14409-REQ-012","FED-EO-14409","Executive Order 14409","Expand United States Tech Force Information Cybersecurity Specialist hiring and placement pathways","Expand United States Tech Force Information Cybersecurity Specialist hiring and placement pathways","actor=Director of OPM;actor_class=FEDERAL_OFFICIAL;private_company_effect=NONE_DIRECT;collaboration_status=NOT_APPLICABLE","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","GOV-002","","","","NONE","Deterministic functional-performance state: NONE.","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","GAP","GAP","HIGH","Not NOT_APPLICABLE because the central duty is architectural. Not UNRESOLVED because reviewed mappings permit a stable finding that no performing public mechanism exists.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-013","EO14409-REQ-013","FED-EO-14409","Executive Order 14409","Develop and maintain a classified process for benchmarking advanced cyber capabilities of AI models","Develop and maintain a classified process for benchmarking advanced cyber capabilities of AI models","actor=Designated Federal officials;actor_class=FEDERAL_MULTI_AGENCY;private_company_effect=POTENTIAL_EVALUATION_EFFECT;collaboration_status=INFORMATION_SHARING_AS_APPROPRIATE","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","EVD-005;SEC-001;TST-001","","","","NONE","Deterministic functional-performance state: NONE.","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","GAP","GAP","HIGH","Not NOT_APPLICABLE because the central duty is architectural. Not UNRESOLVED because reviewed mappings permit a stable finding that no performing public mechanism exists.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-014","EO14409-REQ-014","FED-EO-14409","Executive Order 14409","Determine the threshold for designating an AI model as a covered frontier model","Determine the threshold for designating an AI model as a covered frontier model","actor=Designated Federal officials;actor_class=FEDERAL_MULTI_AGENCY;private_company_effect=POTENTIAL_CLASSIFICATION_EFFECT;collaboration_status=INFORMATION_SHARING_AS_APPROPRIATE","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","CLS-002;SCP-002","","","","NONE","Deterministic functional-performance state: NONE.","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","GAP","GAP","HIGH","Not NOT_APPLICABLE because the central duty is architectural. Not UNRESOLVED because reviewed mappings permit a stable finding that no performing public mechanism exists.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-015","EO14409-REQ-015","FED-EO-14409","Executive Order 14409","Make covered-frontier-model determinations in consultation with designated officials","Make covered-frontier-model determinations in consultation with designated officials","actor=Director of NSA;actor_class=FEDERAL_OFFICIAL;private_company_effect=POTENTIAL_CLASSIFICATION_EFFECT;collaboration_status=NOT_APPLICABLE","UNCERTAIN","Deterministic applicability state: UNCERTAIN.","AUTH-001;CLS-001","AAS-EVD-008;AAS-EVD-012;AAS-EVD-019;RA-EVD-001;RA-EVD-003","AUTHORIZATION_EXECUTION_SEPARATION;EVIDENCE_CLASSIFICATION;GOVERNED_STAGE_SEPARATION;SPECIFICATION_PRIMACY;TERNARY_DETERMINATION","Classification does not itself establish admissibility.;Does not assign statutory actors.;Does not define domain-specific legal authorization.;Indeterminate is distinct from the other verdicts.;Tool use alone does not prove valid audit.","DIRECT","Deterministic functional-performance state: DIRECT.","APPLICABILITY_REQUIRES_REVIEW","UNRESOLVED","UNRESOLVED","LOW","No neighboring substantive verdict can be selected reliably until applicability, mapping, or evidence uncertainty is resolved.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-016","EO14409-REQ-016","FED-EO-14409","Executive Order 14409","Design a voluntary framework with AI developers","Design a voluntary framework with AI developers","actor=Designated Federal officials;actor_class=FEDERAL_MULTI_AGENCY;private_company_effect=VOLUNTARY_PARTICIPATION;collaboration_status=VOLUNTARY","UNCERTAIN","Deterministic applicability state: UNCERTAIN.","GOV-001;VOL-004","","","","NONE","Deterministic functional-performance state: NONE.","APPLICABILITY_REQUIRES_REVIEW","UNRESOLVED","UNRESOLVED","LOW","No neighboring substantive verdict can be selected reliably until applicability, mapping, or evidence uncertainty is resolved.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-017","EO14409-REQ-017","FED-EO-14409","Executive Order 14409","Engage the Federal Government to determine whether models under development meet the covered-frontier-model designation","Engage the Federal Government to determine whether models under development meet the covered-frontier-model designation","actor=AI developers;actor_class=PRIVATE_ACTOR;private_company_effect=VOLUNTARY;collaboration_status=VOLUNTARY","UNCERTAIN","Deterministic applicability state: UNCERTAIN.","CLS-001;VOL-001","AAS-EVD-008;AAS-EVD-012;RA-EVD-001","AUTHORIZATION_EXECUTION_SEPARATION;EVIDENCE_CLASSIFICATION;TERNARY_DETERMINATION","Classification does not itself establish admissibility.;Does not define domain-specific legal authorization.;Indeterminate is distinct from the other verdicts.","ADJACENT","Deterministic functional-performance state: ADJACENT.","APPLICABILITY_REQUIRES_REVIEW","UNRESOLVED","UNRESOLVED","LOW","No neighboring substantive verdict can be selected reliably until applicability, mapping, or evidence uncertainty is resolved.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-018","EO14409-REQ-018","FED-EO-14409","Executive Order 14409","Provide the Federal Government access to covered frontier models for up to 30 days before release to other trusted partners","Provide the Federal Government access to covered frontier models for up to 30 days before release to other trusted partners","actor=Participating AI developers;actor_class=PRIVATE_ACTOR;private_company_effect=VOLUNTARY;collaboration_status=VOLUNTARY","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","EVD-004;SEC-002;VOL-003","AAS-EVD-004;AAS-EVD-017;RA-EVD-017","AUDIT_NONINTERFERENCE;MULTI_SOURCE_VALIDATION_EVIDENCE;ONE_WAY_INDEPENDENCE_BOUNDARY","Architectural independence is not complete institutional independence.;Not a complete procedural ethics standard.;Presence does not automatically establish admissibility.","PARTIAL","Deterministic functional-performance state: PARTIAL.","MATERIAL_ARCHITECTURAL_OR_IMPLEMENTATION_COMPONENT_REMAINS","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","MEDIUM","Not ADDRESSED because direct coverage is incomplete or a material residual remains. Not RELATED because public evidence performs at least one material part of the central duty.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-019","EO14409-REQ-019","FED-EO-14409","Executive Order 14409","Apply appropriate confidentiality, cybersecurity, insider-risk, intellectual-property, use, and nondisclosure protections","Apply appropriate confidentiality, cybersecurity, insider-risk, intellectual-property, use, and nondisclosure protections","actor=Federal Government;actor_class=FEDERAL_MULTI_AGENCY;private_company_effect=PROTECTION_FOR_PARTICIPANTS;collaboration_status=TRIGGERED_BY_VOLUNTARY_PARTICIPATION","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","EVD-005;SEC-001;SEC-003;SEC-004","","","","NONE","Deterministic functional-performance state: NONE.","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","GAP","GAP","HIGH","Not NOT_APPLICABLE because the central duty is architectural. Not UNRESOLVED because reviewed mappings permit a stable finding that no performing public mechanism exists.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-020","EO14409-REQ-020","FED-EO-14409","Executive Order 14409","Collaborate to select trusted partners for early access to covered frontier models","Collaborate to select trusted partners for early access to covered frontier models","actor=Participating AI developers and Federal Government;actor_class=PUBLIC_PRIVATE_COLLABORATION;private_company_effect=VOLUNTARY;collaboration_status=VOLUNTARY","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","SEC-002;VOL-004","AAS-EVD-004;AAS-EVD-017","AUDIT_NONINTERFERENCE;ONE_WAY_INDEPENDENCE_BOUNDARY","Architectural independence is not complete institutional independence.;Not a complete procedural ethics standard.","ADJACENT","Deterministic functional-performance state: ADJACENT.","CENTRAL_DUTY_NOT_FUNCTIONALLY_PERFORMED","RELATED","RELATED","MEDIUM","Not PARTIALLY_ADDRESSED because direct functional performance is not established. Not NOT_APPLICABLE because the duty retains an architectural dimension.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-021","EO14409-REQ-021","FED-EO-14409","Executive Order 14409","Do not construe section 3 as authorizing mandatory model licensing, preclearance, or permitting","Do not construe section 3 as authorizing mandatory model licensing, preclearance, or permitting","actor=Federal Government;actor_class=FEDERAL_AUTHORITY_BOUNDARY;private_company_effect=PROTECTIVE_LIMITATION;collaboration_status=NOT_APPLICABLE","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","AUTH-002;SCP-001","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-017;AAS-EVD-018;AAS-EVD-019;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","ASSURANCE_LAYER_BOUNDARY;AUDIT_SCOPE_EXCLUSIONS;DOMAIN_RESPONSIBILITY_BOUNDARY;IMPLEMENTATION_VALIDATION_BOUNDARY;INFERENCE_BOUNDARY;INTEGRATION_BOUNDARY;ONE_WAY_INDEPENDENCE_BOUNDARY;ORGANIZATIONAL_AUTHORITY_BOUNDARY;SCOPE_FIXATION;SPECIFICATION_PRIMACY;TEMPORAL_CONFORMANCE_BOUNDARY","Adopting organization retains operational responsibility.;Cannot substitute for domain law.;Does not guarantee future conformance.;Does not replace policy, authority, or infrastructure.;Does not supply legal authority.;Independent deployments require separate validation.;Limits audit claims rather than runtime.;Not a complete procedural ethics standard.;Prohibits legal-certification interpretation.;Tool use alone does not prove valid audit.;Unscoped properties remain unevaluated.","DIRECT","Deterministic functional-performance state: DIRECT.","NO_MATERIAL_ARCHITECTURAL_RESIDUAL;EXTERNAL_AUTHORITY_POLICY_AND_DEPLOYMENT_REMAIN","ADDRESSED","ADDRESSED","HIGH","Not PARTIALLY_ADDRESSED because every reviewed direct duty type possesses direct public evidence and no material architectural residual was identified. Not RELATED because the mechanism performs the central duty.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-022","EO14409-REQ-022","FED-EO-14409","Executive Order 14409","Prioritize enforcement of applicable Federal criminal laws against criminal AI-enabled computer access or damage","Prioritize enforcement of applicable Federal criminal laws against criminal AI-enabled computer access or damage","actor=Attorney General;actor_class=FEDERAL_OFFICIAL;private_company_effect=CRIMINAL_LAW_EXPOSURE_FOR_UNLAWFUL_ACTORS;collaboration_status=NOT_APPLICABLE","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","ENF-005","","","","NONE","Deterministic functional-performance state: NONE.","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","GAP","GAP","HIGH","Not NOT_APPLICABLE because the central duty is architectural. Not UNRESOLVED because reviewed mappings permit a stable finding that no performing public mechanism exists.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-023","EO14409-REQ-023","FED-EO-14409","Executive Order 14409","Preserve existing agency authority and OMB functions","Preserve existing agency authority and OMB functions","actor=Executive branch;actor_class=FEDERAL_AUTHORITY_BOUNDARY;private_company_effect=NONE_DIRECT;collaboration_status=NOT_APPLICABLE","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","AUTH-003","RA-EVD-010","ORGANIZATIONAL_AUTHORITY_BOUNDARY","Does not supply legal authority.","DIRECT","Deterministic functional-performance state: DIRECT.","NO_MATERIAL_ARCHITECTURAL_RESIDUAL;EXTERNAL_AUTHORITY_POLICY_AND_DEPLOYMENT_REMAIN","ADDRESSED","ADDRESSED","HIGH","Not PARTIALLY_ADDRESSED because every reviewed direct duty type possesses direct public evidence and no material architectural residual was identified. Not RELATED because the mechanism performs the central duty.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-024","EO14409-REQ-024","FED-EO-14409","Executive Order 14409","Implement the order consistently with applicable law and available appropriations","Implement the order consistently with applicable law and available appropriations","actor=Executive branch;actor_class=FEDERAL_IMPLEMENTATION_BOUNDARY;private_company_effect=NONE_DIRECT;collaboration_status=NOT_APPLICABLE","NON_ARCHITECTURAL","Deterministic applicability state: NON_ARCHITECTURAL.","AUTH-002;SCP-001","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-017;AAS-EVD-018;AAS-EVD-019;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","ASSURANCE_LAYER_BOUNDARY;AUDIT_SCOPE_EXCLUSIONS;DOMAIN_RESPONSIBILITY_BOUNDARY;IMPLEMENTATION_VALIDATION_BOUNDARY;INFERENCE_BOUNDARY;INTEGRATION_BOUNDARY;ONE_WAY_INDEPENDENCE_BOUNDARY;ORGANIZATIONAL_AUTHORITY_BOUNDARY;SCOPE_FIXATION;SPECIFICATION_PRIMACY;TEMPORAL_CONFORMANCE_BOUNDARY","Adopting organization retains operational responsibility.;Cannot substitute for domain law.;Does not guarantee future conformance.;Does not replace policy, authority, or infrastructure.;Does not supply legal authority.;Independent deployments require separate validation.;Limits audit claims rather than runtime.;Not a complete procedural ethics standard.;Prohibits legal-certification interpretation.;Tool use alone does not prove valid audit.;Unscoped properties remain unevaluated.","DIRECT","Deterministic functional-performance state: DIRECT.","SOVEREIGN_OR_LEGAL_FUNCTION_EXTERNAL","NOT_APPLICABLE","NOT_APPLICABLE","HIGH","Not RELATED because the central duty is sovereign, legal, punitive, fiscal, judicial, or governmental. Not GAP because absence of sovereign authority is not an architectural defect.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-025","EO14409-REQ-025","FED-EO-14409","Executive Order 14409","Recognize that the order creates no privately enforceable substantive or procedural right or benefit","Recognize that the order creates no privately enforceable substantive or procedural right or benefit","actor=All parties;actor_class=LEGAL_EFFECT_BOUNDARY;private_company_effect=NO_PRIVATE_ENFORCEMENT_RIGHT;collaboration_status=NOT_APPLICABLE","UNCERTAIN","Deterministic applicability state: UNCERTAIN.","SCP-004","","","","NONE","Deterministic functional-performance state: NONE.","APPLICABILITY_REQUIRES_REVIEW","UNRESOLVED","UNRESOLVED","LOW","No neighboring substantive verdict can be selected reliably until applicability, mapping, or evidence uncertainty is resolved.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
