"review_id","adjudication_id","requirement_id","source_id","source_name","provisional_verdict","adversarial_recommended_verdict","recommendation","attacks_executed","attacks_survived","attacks_failed","failed_attack_classes","recommendation_rationale","human_reviewer_required","human_reviewer_state","consolidation_required","review_state","legal_compliance_determination","external_legal_authority_preserved","review_method_version"
"ARV-020","IADJ-020","EO14409-REQ-020","FED-EO-14409","Executive Order 14409","RELATED","RELATED","UPHOLD","8","8","0","","The provisional verdict survived all eight attacks.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-021","IADJ-021","EO14409-REQ-021","FED-EO-14409","Executive Order 14409","ADDRESSED","PARTIALLY_ADDRESSED","DOWNGRADE","8","7","1","EVIDENCE_SCOPE","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-022","IADJ-022","EO14409-REQ-022","FED-EO-14409","Executive Order 14409","GAP","GAP","UPHOLD","8","8","0","","The provisional verdict survived all eight attacks.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-023","IADJ-023","EO14409-REQ-023","FED-EO-14409","Executive Order 14409","ADDRESSED","PARTIALLY_ADDRESSED","DOWNGRADE","8","7","1","EVIDENCE_SCOPE","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-024","IADJ-024","EO14409-REQ-024","FED-EO-14409","Executive Order 14409","NOT_APPLICABLE","NOT_APPLICABLE","UPHOLD","8","8","0","","The provisional verdict survived all eight attacks.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-025","IADJ-025","EO14409-REQ-025","FED-EO-14409","Executive Order 14409","UNRESOLVED","UNRESOLVED","RECLASSIFY","8","7","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-026","IADJ-026","MN-HF1606-REQ-001","MN-HF-1606","Minnesota HF 1606 / Chapter 72","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","UPHOLD","8","8","0","","The provisional verdict survived all eight attacks.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-027","IADJ-027","MN-HF1606-REQ-002","MN-HF-1606","Minnesota HF 1606 / Chapter 72","UNRESOLVED","UNRESOLVED","RECLASSIFY","8","7","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-028","IADJ-028","MN-HF1606-REQ-003","MN-HF-1606","Minnesota HF 1606 / Chapter 72","UNRESOLVED","UNRESOLVED","RECLASSIFY","8","7","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-029","IADJ-029","MN-HF1606-REQ-004","MN-HF-1606","Minnesota HF 1606 / Chapter 72","UNRESOLVED","UNRESOLVED","RECLASSIFY","8","7","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-030","IADJ-030","MN-HF1606-REQ-005","MN-HF-1606","Minnesota HF 1606 / Chapter 72","UNRESOLVED","UNRESOLVED","RECLASSIFY","8","7","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-031","IADJ-031","MN-HF1606-REQ-006","MN-HF-1606","Minnesota HF 1606 / Chapter 72","UNRESOLVED","UNRESOLVED","RECLASSIFY","8","7","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-032","IADJ-032","MN-HF1606-REQ-007","MN-HF-1606","Minnesota HF 1606 / Chapter 72","NOT_APPLICABLE","NOT_APPLICABLE","UPHOLD","8","8","0","","The provisional verdict survived all eight attacks.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-033","IADJ-033","MN-HF1606-REQ-008","MN-HF-1606","Minnesota HF 1606 / Chapter 72","GAP","GAP","UPHOLD","8","8","0","","The provisional verdict survived all eight attacks.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-034","IADJ-034","MN-HF1606-REQ-009","MN-HF-1606","Minnesota HF 1606 / Chapter 72","NOT_APPLICABLE","NOT_APPLICABLE","UPHOLD","8","8","0","","The provisional verdict survived all eight attacks.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
