"attack_id","requirement_id","attack_class","attack_result","finding","verdict_impact"
"ATK-0034","EO14409-REQ-005","APPLICABILITY","SURVIVED","Applicability is ARCHITECTURAL.","NONE"
"ATK-0035","EO14409-REQ-005","TAXONOMY_MAPPING","SURVIVED","2 normalized type(s) preserved.","NONE"
"ATK-0036","EO14409-REQ-005","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0037","EO14409-REQ-005","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state DIRECT is supported.","NONE"
"ATK-0038","EO14409-REQ-005","EVIDENCE_SCOPE","FAILED","Restrictive scope defeats ADDRESSED.","DOWNGRADE_REQUIRED"
"ATK-0039","EO14409-REQ-005","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0040","EO14409-REQ-005","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0041","EO14409-REQ-006","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0042","EO14409-REQ-006","APPLICABILITY","SURVIVED","Applicability is ARCHITECTURAL.","NONE"
"ATK-0043","EO14409-REQ-006","TAXONOMY_MAPPING","SURVIVED","2 normalized type(s) preserved.","NONE"
"ATK-0044","EO14409-REQ-006","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0045","EO14409-REQ-006","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state NONE is supported.","NONE"
"ATK-0046","EO14409-REQ-006","EVIDENCE_SCOPE","SURVIVED","0 restrictive scope statement(s) preserved.","NONE"
"ATK-0047","EO14409-REQ-006","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0048","EO14409-REQ-006","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0049","EO14409-REQ-007","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0050","EO14409-REQ-007","APPLICABILITY","SURVIVED","Applicability is ARCHITECTURAL.","NONE"
"ATK-0051","EO14409-REQ-007","TAXONOMY_MAPPING","SURVIVED","1 normalized type(s) preserved.","NONE"
"ATK-0052","EO14409-REQ-007","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0053","EO14409-REQ-007","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state NONE is supported.","NONE"
"ATK-0054","EO14409-REQ-007","EVIDENCE_SCOPE","SURVIVED","0 restrictive scope statement(s) preserved.","NONE"
"ATK-0055","EO14409-REQ-007","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0056","EO14409-REQ-007","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0057","EO14409-REQ-008","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0058","EO14409-REQ-008","APPLICABILITY","FAILED","Applicability remains uncertain.","UNRESOLVED_REQUIRED"
"ATK-0059","EO14409-REQ-008","TAXONOMY_MAPPING","SURVIVED","2 normalized type(s) preserved.","NONE"
"ATK-0060","EO14409-REQ-008","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0061","EO14409-REQ-008","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state ADJACENT is supported.","NONE"
"ATK-0062","EO14409-REQ-008","EVIDENCE_SCOPE","SURVIVED","3 restrictive scope statement(s) preserved.","NONE"
"ATK-0063","EO14409-REQ-008","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0064","EO14409-REQ-008","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0065","EO14409-REQ-009","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0066","EO14409-REQ-009","APPLICABILITY","SURVIVED","Applicability is ARCHITECTURAL.","NONE"
"ATK-0067","EO14409-REQ-009","TAXONOMY_MAPPING","SURVIVED","2 normalized type(s) preserved.","NONE"
"ATK-0068","EO14409-REQ-009","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0069","EO14409-REQ-009","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state PARTIAL is supported.","NONE"
"ATK-0070","EO14409-REQ-009","EVIDENCE_SCOPE","SURVIVED","3 restrictive scope statement(s) preserved.","NONE"
"ATK-0071","EO14409-REQ-009","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0072","EO14409-REQ-009","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0073","EO14409-REQ-010","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0074","EO14409-REQ-010","APPLICABILITY","FAILED","Applicability remains uncertain.","UNRESOLVED_REQUIRED"
"ATK-0075","EO14409-REQ-010","TAXONOMY_MAPPING","SURVIVED","2 normalized type(s) preserved.","NONE"
"ATK-0076","EO14409-REQ-010","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0077","EO14409-REQ-010","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state NONE is supported.","NONE"
"ATK-0078","EO14409-REQ-010","EVIDENCE_SCOPE","SURVIVED","0 restrictive scope statement(s) preserved.","NONE"
"ATK-0079","EO14409-REQ-010","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0080","EO14409-REQ-010","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0081","EO14409-REQ-011","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0082","EO14409-REQ-011","APPLICABILITY","SURVIVED","Applicability is ARCHITECTURAL.","NONE"
"ATK-0083","EO14409-REQ-011","TAXONOMY_MAPPING","SURVIVED","1 normalized type(s) preserved.","NONE"
"ATK-0084","EO14409-REQ-011","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0085","EO14409-REQ-011","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state NONE is supported.","NONE"
"ATK-0086","EO14409-REQ-011","EVIDENCE_SCOPE","SURVIVED","0 restrictive scope statement(s) preserved.","NONE"
"ATK-0087","EO14409-REQ-011","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0088","EO14409-REQ-011","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0089","EO14409-REQ-012","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0090","EO14409-REQ-012","APPLICABILITY","SURVIVED","Applicability is ARCHITECTURAL.","NONE"
"ATK-0091","EO14409-REQ-012","TAXONOMY_MAPPING","SURVIVED","1 normalized type(s) preserved.","NONE"
"ATK-0092","EO14409-REQ-012","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0093","EO14409-REQ-012","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state NONE is supported.","NONE"
"ATK-0094","EO14409-REQ-012","EVIDENCE_SCOPE","SURVIVED","0 restrictive scope statement(s) preserved.","NONE"
"ATK-0095","EO14409-REQ-012","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0096","EO14409-REQ-012","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0097","EO14409-REQ-013","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0098","EO14409-REQ-013","APPLICABILITY","SURVIVED","Applicability is ARCHITECTURAL.","NONE"
"ATK-0099","EO14409-REQ-013","TAXONOMY_MAPPING","SURVIVED","3 normalized type(s) preserved.","NONE"
"ATK-0100","EO14409-REQ-013","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0101","EO14409-REQ-013","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state NONE is supported.","NONE"
"ATK-0102","EO14409-REQ-013","EVIDENCE_SCOPE","SURVIVED","0 restrictive scope statement(s) preserved.","NONE"
"ATK-0103","EO14409-REQ-013","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0104","EO14409-REQ-013","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0105","EO14409-REQ-014","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0106","EO14409-REQ-014","APPLICABILITY","SURVIVED","Applicability is ARCHITECTURAL.","NONE"
"ATK-0107","EO14409-REQ-014","TAXONOMY_MAPPING","SURVIVED","2 normalized type(s) preserved.","NONE"
"ATK-0108","EO14409-REQ-014","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0109","EO14409-REQ-014","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state NONE is supported.","NONE"
"ATK-0110","EO14409-REQ-014","EVIDENCE_SCOPE","SURVIVED","0 restrictive scope statement(s) preserved.","NONE"
"ATK-0111","EO14409-REQ-014","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0112","EO14409-REQ-014","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0113","EO14409-REQ-015","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0114","EO14409-REQ-015","APPLICABILITY","FAILED","Applicability remains uncertain.","UNRESOLVED_REQUIRED"
"ATK-0115","EO14409-REQ-015","TAXONOMY_MAPPING","SURVIVED","2 normalized type(s) preserved.","NONE"
"ATK-0116","EO14409-REQ-015","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0117","EO14409-REQ-015","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state DIRECT is supported.","NONE"
"ATK-0118","EO14409-REQ-015","EVIDENCE_SCOPE","SURVIVED","4 restrictive scope statement(s) preserved.","NONE"
"ATK-0119","EO14409-REQ-015","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0120","EO14409-REQ-015","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0121","EO14409-REQ-016","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0122","EO14409-REQ-016","APPLICABILITY","FAILED","Applicability remains uncertain.","UNRESOLVED_REQUIRED"
"ATK-0123","EO14409-REQ-016","TAXONOMY_MAPPING","SURVIVED","2 normalized type(s) preserved.","NONE"
"ATK-0124","EO14409-REQ-016","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0125","EO14409-REQ-016","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state NONE is supported.","NONE"
"ATK-0126","EO14409-REQ-016","EVIDENCE_SCOPE","SURVIVED","0 restrictive scope statement(s) preserved.","NONE"
"ATK-0127","EO14409-REQ-016","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0128","EO14409-REQ-016","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0129","EO14409-REQ-017","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0130","EO14409-REQ-017","APPLICABILITY","FAILED","Applicability remains uncertain.","UNRESOLVED_REQUIRED"
"ATK-0131","EO14409-REQ-017","TAXONOMY_MAPPING","SURVIVED","2 normalized type(s) preserved.","NONE"
"ATK-0132","EO14409-REQ-017","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0133","EO14409-REQ-017","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state ADJACENT is supported.","NONE"
"ATK-0134","EO14409-REQ-017","EVIDENCE_SCOPE","SURVIVED","2 restrictive scope statement(s) preserved.","NONE"
"ATK-0135","EO14409-REQ-017","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0136","EO14409-REQ-017","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0137","EO14409-REQ-018","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0138","EO14409-REQ-018","APPLICABILITY","SURVIVED","Applicability is ARCHITECTURAL.","NONE"
"ATK-0139","EO14409-REQ-018","TAXONOMY_MAPPING","SURVIVED","3 normalized type(s) preserved.","NONE"
"ATK-0140","EO14409-REQ-018","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0141","EO14409-REQ-018","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state PARTIAL is supported.","NONE"
"ATK-0142","EO14409-REQ-018","EVIDENCE_SCOPE","SURVIVED","1 restrictive scope statement(s) preserved.","NONE"
"ATK-0143","EO14409-REQ-018","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0144","EO14409-REQ-018","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0145","EO14409-REQ-019","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0146","EO14409-REQ-019","APPLICABILITY","SURVIVED","Applicability is ARCHITECTURAL.","NONE"
"ATK-0147","EO14409-REQ-019","TAXONOMY_MAPPING","SURVIVED","4 normalized type(s) preserved.","NONE"
"ATK-0148","EO14409-REQ-019","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0149","EO14409-REQ-019","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state NONE is supported.","NONE"
"ATK-0150","EO14409-REQ-019","EVIDENCE_SCOPE","SURVIVED","0 restrictive scope statement(s) preserved.","NONE"
"ATK-0151","EO14409-REQ-019","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0152","EO14409-REQ-019","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0153","EO14409-REQ-020","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0154","EO14409-REQ-020","APPLICABILITY","SURVIVED","Applicability is ARCHITECTURAL.","NONE"
"ATK-0155","EO14409-REQ-020","TAXONOMY_MAPPING","SURVIVED","2 normalized type(s) preserved.","NONE"
"ATK-0156","EO14409-REQ-020","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0157","EO14409-REQ-020","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state ADJACENT is supported.","NONE"
"ATK-0158","EO14409-REQ-020","EVIDENCE_SCOPE","SURVIVED","0 restrictive scope statement(s) preserved.","NONE"
"ATK-0159","EO14409-REQ-020","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0160","EO14409-REQ-020","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0161","EO14409-REQ-021","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0162","EO14409-REQ-021","APPLICABILITY","SURVIVED","Applicability is ARCHITECTURAL.","NONE"
"ATK-0163","EO14409-REQ-021","TAXONOMY_MAPPING","SURVIVED","2 normalized type(s) preserved.","NONE"
"ATK-0164","EO14409-REQ-021","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0165","EO14409-REQ-021","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state DIRECT is supported.","NONE"
"ATK-0166","EO14409-REQ-021","EVIDENCE_SCOPE","FAILED","Restrictive scope defeats ADDRESSED.","DOWNGRADE_REQUIRED"
"ATK-0167","EO14409-REQ-021","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0168","EO14409-REQ-021","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0169","EO14409-REQ-022","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0170","EO14409-REQ-022","APPLICABILITY","SURVIVED","Applicability is ARCHITECTURAL.","NONE"
"ATK-0171","EO14409-REQ-022","TAXONOMY_MAPPING","SURVIVED","1 normalized type(s) preserved.","NONE"
"ATK-0172","EO14409-REQ-022","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0173","EO14409-REQ-022","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state NONE is supported.","NONE"
"ATK-0174","EO14409-REQ-022","EVIDENCE_SCOPE","SURVIVED","0 restrictive scope statement(s) preserved.","NONE"
"ATK-0175","EO14409-REQ-022","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0176","EO14409-REQ-022","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0177","EO14409-REQ-023","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0178","EO14409-REQ-023","APPLICABILITY","SURVIVED","Applicability is ARCHITECTURAL.","NONE"
"ATK-0179","EO14409-REQ-023","TAXONOMY_MAPPING","SURVIVED","1 normalized type(s) preserved.","NONE"
"ATK-0180","EO14409-REQ-023","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0181","EO14409-REQ-023","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state DIRECT is supported.","NONE"
"ATK-0182","EO14409-REQ-023","EVIDENCE_SCOPE","FAILED","Restrictive scope defeats ADDRESSED.","DOWNGRADE_REQUIRED"
"ATK-0183","EO14409-REQ-023","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0184","EO14409-REQ-023","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0185","EO14409-REQ-024","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0186","EO14409-REQ-024","APPLICABILITY","SURVIVED","Applicability is NON_ARCHITECTURAL.","NONE"
"ATK-0187","EO14409-REQ-024","TAXONOMY_MAPPING","SURVIVED","2 normalized type(s) preserved.","NONE"
"ATK-0188","EO14409-REQ-024","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0189","EO14409-REQ-024","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state DIRECT is supported.","NONE"
"ATK-0190","EO14409-REQ-024","EVIDENCE_SCOPE","SURVIVED","5 restrictive scope statement(s) preserved.","NONE"
"ATK-0191","EO14409-REQ-024","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0192","EO14409-REQ-024","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0193","EO14409-REQ-025","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0194","EO14409-REQ-025","APPLICABILITY","FAILED","Applicability remains uncertain.","UNRESOLVED_REQUIRED"
"ATK-0195","EO14409-REQ-025","TAXONOMY_MAPPING","SURVIVED","1 normalized type(s) preserved.","NONE"
"ATK-0196","EO14409-REQ-025","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0197","EO14409-REQ-025","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state NONE is supported.","NONE"
"ATK-0198","EO14409-REQ-025","EVIDENCE_SCOPE","SURVIVED","0 restrictive scope statement(s) preserved.","NONE"
"ATK-0199","EO14409-REQ-025","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0200","EO14409-REQ-025","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0201","MN-HF1606-REQ-001","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0202","MN-HF1606-REQ-001","APPLICABILITY","SURVIVED","Applicability is ARCHITECTURAL.","NONE"
"ATK-0203","MN-HF1606-REQ-001","TAXONOMY_MAPPING","SURVIVED","3 normalized type(s) preserved.","NONE"
"ATK-0204","MN-HF1606-REQ-001","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0205","MN-HF1606-REQ-001","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state PARTIAL is supported.","NONE"
"ATK-0206","MN-HF1606-REQ-001","EVIDENCE_SCOPE","SURVIVED","2 restrictive scope statement(s) preserved.","NONE"
"ATK-0207","MN-HF1606-REQ-001","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0208","MN-HF1606-REQ-001","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0209","MN-HF1606-REQ-002","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0210","MN-HF1606-REQ-002","APPLICABILITY","FAILED","Applicability remains uncertain.","UNRESOLVED_REQUIRED"
"ATK-0211","MN-HF1606-REQ-002","TAXONOMY_MAPPING","SURVIVED","2 normalized type(s) preserved.","NONE"
"ATK-0212","MN-HF1606-REQ-002","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0213","MN-HF1606-REQ-002","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state NONE is supported.","NONE"
"ATK-0214","MN-HF1606-REQ-002","EVIDENCE_SCOPE","SURVIVED","0 restrictive scope statement(s) preserved.","NONE"
"ATK-0215","MN-HF1606-REQ-002","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0216","MN-HF1606-REQ-002","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0217","MN-HF1606-REQ-003","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0218","MN-HF1606-REQ-003","APPLICABILITY","FAILED","Applicability remains uncertain.","UNRESOLVED_REQUIRED"
"ATK-0219","MN-HF1606-REQ-003","TAXONOMY_MAPPING","SURVIVED","1 normalized type(s) preserved.","NONE"
"ATK-0220","MN-HF1606-REQ-003","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0221","MN-HF1606-REQ-003","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state NONE is supported.","NONE"
"ATK-0222","MN-HF1606-REQ-003","EVIDENCE_SCOPE","SURVIVED","0 restrictive scope statement(s) preserved.","NONE"
"ATK-0223","MN-HF1606-REQ-003","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0224","MN-HF1606-REQ-003","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0225","MN-HF1606-REQ-004","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0226","MN-HF1606-REQ-004","APPLICABILITY","FAILED","Applicability remains uncertain.","UNRESOLVED_REQUIRED"
"ATK-0227","MN-HF1606-REQ-004","TAXONOMY_MAPPING","SURVIVED","2 normalized type(s) preserved.","NONE"
"ATK-0228","MN-HF1606-REQ-004","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0229","MN-HF1606-REQ-004","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state PARTIAL is supported.","NONE"
"ATK-0230","MN-HF1606-REQ-004","EVIDENCE_SCOPE","SURVIVED","4 restrictive scope statement(s) preserved.","NONE"
"ATK-0231","MN-HF1606-REQ-004","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0232","MN-HF1606-REQ-004","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0233","MN-HF1606-REQ-005","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0234","MN-HF1606-REQ-005","APPLICABILITY","FAILED","Applicability remains uncertain.","UNRESOLVED_REQUIRED"
