"challenge_id","requirement_id","challenged_verdict","challenge_basis","challenger_position","supporting_evidence_ids","resolution_status","resolution_rationale","reviewer","review_state"
"CHL-020","EO14409-REQ-020","RELATED","Mandatory complete row-level adversarial review.","Recommended RELATED: UPHOLD","AAS-EVD-004;AAS-EVD-017","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-021","EO14409-REQ-021","ADDRESSED","Mandatory complete row-level adversarial review.","Recommended PARTIALLY_ADDRESSED: DOWNGRADE","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-017;AAS-EVD-018;AAS-EVD-019;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-022","EO14409-REQ-022","GAP","Mandatory complete row-level adversarial review.","Recommended GAP: UPHOLD","","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-023","EO14409-REQ-023","ADDRESSED","Mandatory complete row-level adversarial review.","Recommended PARTIALLY_ADDRESSED: DOWNGRADE","RA-EVD-010","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-024","EO14409-REQ-024","NOT_APPLICABLE","Mandatory complete row-level adversarial review.","Recommended NOT_APPLICABLE: UPHOLD","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-017;AAS-EVD-018;AAS-EVD-019;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-025","EO14409-REQ-025","UNRESOLVED","Mandatory complete row-level adversarial review.","Recommended UNRESOLVED: RECLASSIFY","","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-026","MN-HF1606-REQ-001","PARTIALLY_ADDRESSED","Mandatory complete row-level adversarial review.","Recommended PARTIALLY_ADDRESSED: UPHOLD","RA-EVD-003;RA-EVD-008","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-027","MN-HF1606-REQ-002","UNRESOLVED","Mandatory complete row-level adversarial review.","Recommended UNRESOLVED: RECLASSIFY","","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-028","MN-HF1606-REQ-003","UNRESOLVED","Mandatory complete row-level adversarial review.","Recommended UNRESOLVED: RECLASSIFY","","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-029","MN-HF1606-REQ-004","UNRESOLVED","Mandatory complete row-level adversarial review.","Recommended UNRESOLVED: RECLASSIFY","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-018;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-030","MN-HF1606-REQ-005","UNRESOLVED","Mandatory complete row-level adversarial review.","Recommended UNRESOLVED: RECLASSIFY","","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-031","MN-HF1606-REQ-006","UNRESOLVED","Mandatory complete row-level adversarial review.","Recommended UNRESOLVED: RECLASSIFY","","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-032","MN-HF1606-REQ-007","NOT_APPLICABLE","Mandatory complete row-level adversarial review.","Recommended NOT_APPLICABLE: UPHOLD","","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-033","MN-HF1606-REQ-008","GAP","Mandatory complete row-level adversarial review.","Recommended GAP: UPHOLD","","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-034","MN-HF1606-REQ-009","NOT_APPLICABLE","Mandatory complete row-level adversarial review.","Recommended NOT_APPLICABLE: UPHOLD","","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
