"evidence_taxonomy_map_id","evidence_id","artifact_id","normalized_requirement_type_id","evidence_strength","mapping_status","compatibility_verdict"
"ETM-027","RA-EVD-011","ORYNTH-RA-001","AUD-003","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-028","RA-EVD-011","ORYNTH-RA-001","EVD-003","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-029","RA-EVD-012","ORYNTH-RA-001","EVD-003","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-030","RA-EVD-012","ORYNTH-RA-001","DOC-003","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-031","RA-EVD-012","ORYNTH-RA-001","AUD-002","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-032","RA-EVD-013","ORYNTH-RA-001","EVD-002","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-033","RA-EVD-013","ORYNTH-RA-001","EVD-003","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-034","RA-EVD-013","ORYNTH-RA-001","DOC-003","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-035","RA-EVD-014","ORYNTH-RA-001","AUTH-002","DIRECT_BOUNDARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-036","RA-EVD-014","ORYNTH-RA-001","ACT-002","DIRECT_BOUNDARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-037","RA-EVD-014","ORYNTH-RA-001","SCP-001","DIRECT_BOUNDARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-038","RA-EVD-015","ORYNTH-RA-001","TST-003","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-039","RA-EVD-015","ORYNTH-RA-001","AUD-003","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-040","RA-EVD-015","ORYNTH-RA-001","DOC-003","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-041","RA-EVD-016","ORYNTH-RA-001","TST-003","DIRECT_ASSURANCE","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-042","RA-EVD-016","ORYNTH-RA-001","AUD-002","DIRECT_ASSURANCE","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-043","RA-EVD-016","ORYNTH-RA-001","AUD-003","DIRECT_ASSURANCE","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-044","RA-EVD-016","ORYNTH-RA-001","EVD-003","DIRECT_ASSURANCE","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-045","RA-EVD-017","ORYNTH-RA-001","EVD-001","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-046","RA-EVD-017","ORYNTH-RA-001","EVD-003","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-047","RA-EVD-017","ORYNTH-RA-001","EVD-004","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-048","RA-EVD-018","ORYNTH-RA-001","EVD-002","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-049","RA-EVD-018","ORYNTH-RA-001","EVD-003","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-050","RA-EVD-018","ORYNTH-RA-001","AUD-002","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-051","RA-EVD-019","ORYNTH-RA-001","SCP-001","DIRECT_BOUNDARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-052","RA-EVD-019","ORYNTH-RA-001","AUTH-002","DIRECT_BOUNDARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-053","RA-EVD-020","ORYNTH-RA-001","AUD-003","STRUCTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-054","RA-EVD-020","ORYNTH-RA-001","SCP-001","STRUCTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-055","AAS-EVD-001","ORYNTH-AAS-001","AUD-001","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-056","AAS-EVD-001","ORYNTH-AAS-001","AUD-003","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-057","AAS-EVD-002","ORYNTH-AAS-001","EVD-001","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-058","AAS-EVD-002","ORYNTH-AAS-001","AUD-003","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-059","AAS-EVD-003","ORYNTH-AAS-001","DOC-001","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-060","AAS-EVD-003","ORYNTH-AAS-001","AUD-002","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-061","AAS-EVD-003","ORYNTH-AAS-001","AUD-003","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-062","AAS-EVD-004","ORYNTH-AAS-001","AUD-001","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-063","AAS-EVD-004","ORYNTH-AAS-001","SEC-002","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-064","AAS-EVD-005","ORYNTH-AAS-001","SCP-001","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-065","AAS-EVD-005","ORYNTH-AAS-001","ACT-001","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-066","AAS-EVD-005","ORYNTH-AAS-001","DOC-003","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-067","AAS-EVD-006","ORYNTH-AAS-001","AUD-001","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-068","AAS-EVD-006","ORYNTH-AAS-001","AUD-003","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-069","AAS-EVD-006","ORYNTH-AAS-001","DOC-003","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-070","AAS-EVD-007","ORYNTH-AAS-001","EVD-003","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-071","AAS-EVD-007","ORYNTH-AAS-001","DOC-003","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-072","AAS-EVD-007","ORYNTH-AAS-001","AUD-003","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-073","AAS-EVD-008","ORYNTH-AAS-001","EVD-001","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-074","AAS-EVD-008","ORYNTH-AAS-001","CLS-001","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-075","AAS-EVD-009","ORYNTH-AAS-001","EVD-001","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-076","AAS-EVD-009","ORYNTH-AAS-001","TST-003","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-077","AAS-EVD-009","ORYNTH-AAS-001","EXE-001","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-078","AAS-EVD-010","ORYNTH-AAS-001","EVD-002","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-079","AAS-EVD-010","ORYNTH-AAS-001","EVD-003","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-080","AAS-EVD-010","ORYNTH-AAS-001","DOC-003","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-081","AAS-EVD-011","ORYNTH-AAS-001","DOC-001","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-082","AAS-EVD-011","ORYNTH-AAS-001","AUD-002","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-083","AAS-EVD-012","ORYNTH-AAS-001","AUD-003","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-084","AAS-EVD-012","ORYNTH-AAS-001","CLS-001","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-085","AAS-EVD-013","ORYNTH-AAS-001","AUTH-002","DIRECT_BOUNDARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-086","AAS-EVD-013","ORYNTH-AAS-001","AUD-003","DIRECT_BOUNDARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-087","AAS-EVD-013","ORYNTH-AAS-001","SCP-001","DIRECT_BOUNDARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-088","AAS-EVD-014","ORYNTH-AAS-001","EVD-002","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-089","AAS-EVD-014","ORYNTH-AAS-001","EVD-003","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-090","AAS-EVD-014","ORYNTH-AAS-001","DOC-003","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-091","AAS-EVD-014","ORYNTH-AAS-001","AUD-003","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-092","AAS-EVD-015","ORYNTH-AAS-001","EVD-003","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-093","AAS-EVD-015","ORYNTH-AAS-001","AUD-002","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-094","AAS-EVD-015","ORYNTH-AAS-001","AUD-003","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-095","AAS-EVD-016","ORYNTH-AAS-001","SCP-001","DIRECT_BOUNDARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-096","AAS-EVD-016","ORYNTH-AAS-001","AUTH-002","DIRECT_BOUNDARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-097","AAS-EVD-016","ORYNTH-AAS-001","AUD-003","DIRECT_BOUNDARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-098","AAS-EVD-017","ORYNTH-AAS-001","AUD-001","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-099","AAS-EVD-017","ORYNTH-AAS-001","SEC-002","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-100","AAS-EVD-017","ORYNTH-AAS-001","AUTH-002","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-101","AAS-EVD-018","ORYNTH-AAS-001","SCP-001","DIRECT_BOUNDARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-102","AAS-EVD-018","ORYNTH-AAS-001","AUTH-002","DIRECT_BOUNDARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-103","AAS-EVD-019","ORYNTH-AAS-001","AUTH-001","DIRECT_BOUNDARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-104","AAS-EVD-019","ORYNTH-AAS-001","AUTH-002","DIRECT_BOUNDARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-105","AAS-EVD-019","ORYNTH-AAS-001","AUD-003","DIRECT_BOUNDARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-106","AAS-EVD-020","ORYNTH-AAS-001","EVD-003","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-107","AAS-EVD-020","ORYNTH-AAS-001","AUD-002","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-108","AAS-EVD-020","ORYNTH-AAS-001","AUD-003","DIRECT_AUDIT","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
