"challenge_id","requirement_id","challenged_verdict","challenge_basis","challenger_position","supporting_evidence_ids","resolution_status","resolution_rationale","reviewer","review_state"
"CHL-024","EO14409-REQ-024","NOT_APPLICABLE","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-017;AAS-EVD-018;AAS-EVD-019;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-025","EO14409-REQ-025","UNRESOLVED","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-026","MN-HF1606-REQ-001","PARTIALLY_ADDRESSED","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","RA-EVD-003;RA-EVD-008","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-027","MN-HF1606-REQ-002","UNRESOLVED","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-028","MN-HF1606-REQ-003","UNRESOLVED","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-029","MN-HF1606-REQ-004","UNRESOLVED","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-018;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-030","MN-HF1606-REQ-005","UNRESOLVED","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-031","MN-HF1606-REQ-006","UNRESOLVED","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-032","MN-HF1606-REQ-007","NOT_APPLICABLE","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-033","MN-HF1606-REQ-008","GAP","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-034","MN-HF1606-REQ-009","NOT_APPLICABLE","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
