"requirement_id","source_id","central_duty","architectural_applicability","normalized_type_ids","evidence_ids","evidence_scope_limits","provisional_verdict","adversarial_recommended_verdict","attacks_failed","failed_attack_classes","recommendation_rationale","human_final_verdict","human_decision","human_rationale","reviewer_name","review_date","review_complete","legal_compliance_determination","external_legal_authority_preserved"
"EO14409-REQ-011","FED-EO-14409","Determine whether relevant Federal grant funding is available for advanced AI vulnerability detection","ARCHITECTURAL","GOV-003","","","GAP","GAP","0","","The provisional verdict survived all eight attacks.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-012","FED-EO-14409","Expand United States Tech Force Information Cybersecurity Specialist hiring and placement pathways","ARCHITECTURAL","GOV-002","","","GAP","GAP","0","","The provisional verdict survived all eight attacks.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-013","FED-EO-14409","Develop and maintain a classified process for benchmarking advanced cyber capabilities of AI models","ARCHITECTURAL","EVD-005;SEC-001;TST-001","","","GAP","GAP","0","","The provisional verdict survived all eight attacks.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-014","FED-EO-14409","Determine the threshold for designating an AI model as a covered frontier model","ARCHITECTURAL","CLS-002;SCP-002","","","GAP","GAP","0","","The provisional verdict survived all eight attacks.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-015","FED-EO-14409","Make covered-frontier-model determinations in consultation with designated officials","UNCERTAIN","AUTH-001;CLS-001","AAS-EVD-008;AAS-EVD-012;AAS-EVD-019;RA-EVD-001;RA-EVD-003","Classification does not itself establish admissibility.;Does not assign statutory actors.;Does not define domain-specific legal authorization.;Indeterminate is distinct from the other verdicts.;Tool use alone does not prove valid audit.","UNRESOLVED","UNRESOLVED","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-016","FED-EO-14409","Design a voluntary framework with AI developers","UNCERTAIN","GOV-001;VOL-004","","","UNRESOLVED","UNRESOLVED","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-017","FED-EO-14409","Engage the Federal Government to determine whether models under development meet the covered-frontier-model designation","UNCERTAIN","CLS-001;VOL-001","AAS-EVD-008;AAS-EVD-012;RA-EVD-001","Classification does not itself establish admissibility.;Does not define domain-specific legal authorization.;Indeterminate is distinct from the other verdicts.","UNRESOLVED","UNRESOLVED","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-018","FED-EO-14409","Provide the Federal Government access to covered frontier models for up to 30 days before release to other trusted partners","ARCHITECTURAL","EVD-004;SEC-002;VOL-003","AAS-EVD-004;AAS-EVD-017;RA-EVD-017","Architectural independence is not complete institutional independence.;Not a complete procedural ethics standard.;Presence does not automatically establish admissibility.","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","0","","The provisional verdict survived all eight attacks.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-019","FED-EO-14409","Apply appropriate confidentiality, cybersecurity, insider-risk, intellectual-property, use, and nondisclosure protections","ARCHITECTURAL","EVD-005;SEC-001;SEC-003;SEC-004","","","GAP","GAP","0","","The provisional verdict survived all eight attacks.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-020","FED-EO-14409","Collaborate to select trusted partners for early access to covered frontier models","ARCHITECTURAL","SEC-002;VOL-004","AAS-EVD-004;AAS-EVD-017","Architectural independence is not complete institutional independence.;Not a complete procedural ethics standard.","RELATED","RELATED","0","","The provisional verdict survived all eight attacks.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-021","FED-EO-14409","Do not construe section 3 as authorizing mandatory model licensing, preclearance, or permitting","ARCHITECTURAL","AUTH-002;SCP-001","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-017;AAS-EVD-018;AAS-EVD-019;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","Adopting organization retains operational responsibility.;Cannot substitute for domain law.;Does not guarantee future conformance.;Does not replace policy, authority, or infrastructure.;Does not supply legal authority.;Independent deployments require separate validation.;Limits audit claims rather than runtime.;Not a complete procedural ethics standard.;Prohibits legal-certification interpretation.;Tool use alone does not prove valid audit.;Unscoped properties remain unevaluated.","ADDRESSED","PARTIALLY_ADDRESSED","1","EVIDENCE_SCOPE","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-022","FED-EO-14409","Prioritize enforcement of applicable Federal criminal laws against criminal AI-enabled computer access or damage","ARCHITECTURAL","ENF-005","","","GAP","GAP","0","","The provisional verdict survived all eight attacks.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-023","FED-EO-14409","Preserve existing agency authority and OMB functions","ARCHITECTURAL","AUTH-003","RA-EVD-010","Does not supply legal authority.","ADDRESSED","PARTIALLY_ADDRESSED","1","EVIDENCE_SCOPE","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-024","FED-EO-14409","Implement the order consistently with applicable law and available appropriations","NON_ARCHITECTURAL","AUTH-002;SCP-001","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-017;AAS-EVD-018;AAS-EVD-019;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","Adopting organization retains operational responsibility.;Cannot substitute for domain law.;Does not guarantee future conformance.;Does not replace policy, authority, or infrastructure.;Does not supply legal authority.;Independent deployments require separate validation.;Limits audit claims rather than runtime.;Not a complete procedural ethics standard.;Prohibits legal-certification interpretation.;Tool use alone does not prove valid audit.;Unscoped properties remain unevaluated.","NOT_APPLICABLE","NOT_APPLICABLE","0","","The provisional verdict survived all eight attacks.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-025","FED-EO-14409","Recognize that the order creates no privately enforceable substantive or procedural right or benefit","UNCERTAIN","SCP-004","","","UNRESOLVED","UNRESOLVED","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"MN-HF1606-REQ-001","MN-HF-1606","Must not allow a user to access, download, or use the service to nudify an image or video.","ARCHITECTURAL","EXE-002;HUM-002;PRO-002","RA-EVD-003;RA-EVD-008","Does not assign statutory actors.;Does not define every domain prohibition.","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","0","","The provisional verdict survived all eight attacks.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"MN-HF1606-REQ-002","MN-HF-1606","Must not nudify an image or video on behalf of a user.","UNCERTAIN","HUM-002;PRO-001","","","UNRESOLVED","UNRESOLVED","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"MN-HF1606-REQ-003","MN-HF-1606","Must not advertise or promote a service that performs prohibited nudification actions.","UNCERTAIN","PRO-003","","","UNRESOLVED","UNRESOLVED","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"MN-HF1606-REQ-004","MN-HF-1606","Subdivision 2 prohibitions do not apply when the service requires the technical skill of a user to nudify media.","UNCERTAIN","SCP-001;SCP-003","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-018;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","Adopting organization retains operational responsibility.;Cannot substitute for domain law.;Does not guarantee future conformance.;Does not replace policy, authority, or infrastructure.;Does not supply legal authority.;Independent deployments require separate validation.;Limits audit claims rather than runtime.;Prohibits legal-certification interpretation.;Unscoped properties remain unevaluated.","UNRESOLVED","UNRESOLVED","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"MN-HF1606-REQ-005","MN-HF-1606","May be sued by an individual depicted in unlawfully nudified media.","UNCERTAIN","ENF-002;HUM-002","","","UNRESOLVED","UNRESOLVED","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"MN-HF1606-REQ-006","MN-HF-1606","Subject to compensatory damages, including mental anguish or suffering, up to three times actual damages.","UNCERTAIN","ENF-004","","","UNRESOLVED","UNRESOLVED","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"MN-HF1606-REQ-007","MN-HF-1606","Subject to enforcement by the Minnesota Attorney General under section 8.31.","NON_ARCHITECTURAL","ENF-001","","","NOT_APPLICABLE","NOT_APPLICABLE","0","","The provisional verdict survived all eight attacks.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"MN-HF1606-REQ-008","MN-HF-1606","Subject to a civil penalty not exceeding $500,000 for each unlawful access, download, or use.","ARCHITECTURAL","ENF-003","","","GAP","GAP","0","","The provisional verdict survived all eight attacks.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"MN-HF1606-REQ-009","MN-HF-1606","Civil penalties must be deposited in the general fund and annually appropriated for victim-service grants.","NON_ARCHITECTURAL","GOV-003;HUM-002","","","NOT_APPLICABLE","NOT_APPLICABLE","0","","The provisional verdict survived all eight attacks.","","","","","","FALSE","NOT_ASSESSED","TRUE"
